fips3,municipio,year,agegroup,population
001,Adjuntas,2000,0-4,1446
001,Adjuntas,2000,5-9,1649
001,Adjuntas,2000,10-14,1852
001,Adjuntas,2000,15-19,1864
001,Adjuntas,2000,20-24,1485
001,Adjuntas,2000,25-29,1177
001,Adjuntas,2000,30-34,1217
001,Adjuntas,2000,35-39,1270
001,Adjuntas,2000,40-44,1259
001,Adjuntas,2000,45-49,1162
001,Adjuntas,2000,50-54,1095
001,Adjuntas,2000,55-59,937
001,Adjuntas,2000,60-64,740
001,Adjuntas,2000,65-69,610
001,Adjuntas,2000,70-74,487
001,Adjuntas,2000,75-79,368
001,Adjuntas,2000,80+,541
001,Adjuntas,2001,0-4,1433
001,Adjuntas,2001,5-9,1638
001,Adjuntas,2001,10-14,1837
001,Adjuntas,2001,15-19,1825
001,Adjuntas,2001,20-24,1511
001,Adjuntas,2001,25-29,1185
001,Adjuntas,2001,30-34,1205
001,Adjuntas,2001,35-39,1266
001,Adjuntas,2001,40-44,1276
001,Adjuntas,2001,45-49,1180
001,Adjuntas,2001,50-54,1110
001,Adjuntas,2001,55-59,997
001,Adjuntas,2001,60-64,766
001,Adjuntas,2001,65-69,632
001,Adjuntas,2001,70-74,500
001,Adjuntas,2001,75-79,380
001,Adjuntas,2001,80+,543
001,Adjuntas,2002,0-4,1414
001,Adjuntas,2002,5-9,1621
001,Adjuntas,2002,10-14,1819
001,Adjuntas,2002,15-19,1788
001,Adjuntas,2002,20-24,1522
001,Adjuntas,2002,25-29,1208
001,Adjuntas,2002,30-34,1199
001,Adjuntas,2002,35-39,1251
001,Adjuntas,2002,40-44,1286
001,Adjuntas,2002,45-49,1206
001,Adjuntas,2002,50-54,1118
001,Adjuntas,2002,55-59,1055
001,Adjuntas,2002,60-64,803
001,Adjuntas,2002,65-69,659
001,Adjuntas,2002,70-74,512
001,Adjuntas,2002,75-79,389
001,Adjuntas,2002,80+,552
001,Adjuntas,2003,0-4,1385
001,Adjuntas,2003,5-9,1598
001,Adjuntas,2003,10-14,1799
001,Adjuntas,2003,15-19,1759
001,Adjuntas,2003,20-24,1523
