Table 1
Fecha,Hora,Corrida,Grupo,age_idx,,,period_idx,,,region_idx,,,s_t_idx,,,cell_idx,,,Cobertura hombres,Cobertura mujeres,Muestras
01/08,16:19:54,T1,Ambos,1,1,10,1,1,10,1,1,10,1,1,10,1,1,1,92.16,97.43,100
,16:29:19,T2,Ambos,1,1,10,1,1,10,1,1,10,1,1,10,N/A,N/A,N/A,42.45,43.01,100
,16:47:10,T3,Ambos,1,1,10,0.5,0.5,10,1,1,10,1,1,10,1,1,10,90.31,97.15,100
,16:55:40,T4,Ambos,1,1,10,1,1,10,0.5,0.5,10,1,1,10,1,1,10,91.02,97.72,100
,16:59:12,T5,Ambos,1,1,10,1,1,10,0.5,1,10,1,1,10,1,1,10,90.59,97.00,100
,17:01:59,T6,Ambos,1,1,10,1,1,10,1,0.5,10,1,1,10,1,1,10,91.45,96.86,100
,17:12:25,T7,Ambos,1,1,10,0.5,1,10,1,1,10,1,1,10,1,1,10,91.59,97.29,100
,17:15:31,T8,Ambos,1,1,10,1,0.5,10,1,1,10,1,1,10,1,1,10,91.73,97.15,100
,17:19:26,T9,Ambos,1,1,10,0.5,0.5,10,0.5,0.5,10,1,1,10,1,1,10,91.16,97.72,100
,17:36:20,T10,Ambos,1,1,10,1,0.5,10,0.5,0.5,10,1,1,10,1,1,10,91.73,97.43,100
,17:43:43,T11,Ambos,1,1,10,0.5,0.5,10,1,0.5,10,1,1,10,1,1,10,91.02,97.86,100
,17:48:24,T12,Ambos,1,1,10,1,0.5,10,1,0.5,10,1,1,10,1,1,10,90.31,96.86,100
,17:51:26,T13,Ambos,1,1,10,0.5,1,10,0.5,1,10,1,1,10,1,1,10,90.17,97.29,100
"Tomando a T11 como cobertura principal: region_idx(1,0.5,10)",,,,,,,,,,,,,,,,,,,,,
,18:00:58,T14,Ambos,1,1,10,0.5,0.5,10,1,0.5,10,0.5,0.5,10,1,1,10,92.30,97.57,100
,18:18:17,T15,Ambos,1,1,10,0.5,0.5,10,1,0.5,10,1,0.5,10,1,1,10,90.88,97.15,100
,18:21:12,T16,Ambos,1,1,10,0.5,0.5,10,1,0.5,10,0.5,1,10,1,1,10,90.74,97.72,100
Seguir corridas sin base de cobertura de T11,,,,,,,,,,,,,,,,,,,,,
02/08,13:23:40,T17,Ambos,1,1,10,0.5,0.5,10,0.5,0.5,10,0.5,0.5,10,1,1,10,91.73,97.43,100
,16:59:29,T18,Ambos,0.5,1,10,0.5,0.5,10,0.5,0.5,10,0.5,0.5,10,1,1,10,91.31,97.29,100
,17:07:28,T19,Ambos,1,0.5,10,0.5,0.5,10,0.5,0.5,10,0.5,0.5,10,1,1,10,92.16,97.57,100
,17:11:28,T20,Ambos,0.5,0.5,10,0.5,0.5,10,0.5,0.5,10,0.5,0.5,10,1,1,10,90.88,97.29,100
,17:14:28,T21,Ambos,0.5,0.5,10,0.5,0.5,10,0.5,0.5,10,0.5,0.5,10,0.5,1,10,90.59,97.15,100
,17:17:29,T22,Ambos,0.5,0.5,10,0.5,0.5,10,0.5,0.5,10,0.5,0.5,10,1,0.5,10,91.31,97.43,100
,17:20:55,T23,Ambos,0.5,1,10,0.5,0.5,10,0.5,0.5,10,0.5,0.5,10,0.5,1,10,90.31,97.43,100
,17:25:42,T24,Ambos,1,0.5,10,0.5,0.5,10,0.5,0.5,10,0.5,0.5,10,0.5,1,10,91.73,97.15,100
,17:37:05,T25,Ambos,1,0.5,10,0.5,0.5,10,0.5,0.5,10,0.5,0.5,10,1,0.5,10,91.02,97.43,100
,19:46:38,T26,Ambos,0.5,1,10,0.5,0.5,10,0.5,0.5,10,0.5,0.5,10,1,0.5,10,90.17,97.00,100
"Todos los índices a (0.5,0.5,10)",,,,,,,,,,,,,,,,,,,,,
,19:51:37,T27,Ambos,0.5,0.5,10,0.5,0.5,10,0.5,0.5,10,0.5,0.5,10,0.5,0.5,10,91.59,97.29,100
,20:15:03,T28,Ambos,0.5,0.5,5,0.5,0.5,10,0.5,0.5,10,0.5,0.5,10,0.5,0.5,10,91.31,97.43,100
,20:18:40,T29,Ambos,0.5,0.5,5,0.5,0.5,5,0.5,0.5,10,0.5,0.5,10,0.5,0.5,10,91.73,97.15,100
,20:23:02,T30,Ambos,0.5,0.5,5,0.5,0.5,5,0.5,0.5,5,0.5,0.5,10,0.5,0.5,10,91.02,97.43,100
,20:26:44,T31,Ambos,0.5,0.5,5,0.5,0.5,5,0.5,0.5,5,0.5,0.5,5,0.5,0.5,10,91.16,98.00,100
,20:29:38,T32,Ambos,0.5,0.5,5,0.5,0.5,5,0.5,0.5,5,0.5,0.5,5,0.5,0.5,5,91.88,98.00,100
,20:33:03,T33,Ambos,0.5,0.5,5,0.5,0.5,5,0.5,0.5,5,0.5,0.5,5,0.5,0.5,2.5,91.02,97.15,100
,20:35:56,T34,Ambos,0.5,0.5,5,0.5,0.5,5,0.5,0.5,5,0.5,0.5,5,0.5,0.5,4,91.02,97.57,100
,21:02:17,T35,Ambos,0.5,0.5,5,0.5,0.5,5,0.5,0.5,5,0.5,0.5,5,0.5,0.5,5,92.73,97.57,1000
,22:07:03,T36,Ambos,0.5,0.5,5,0.5,0.5,5,0.5,0.5,5,0.5,0.5,5,0.5,0.5,10,92.59,97.57,1000
,22:17:33,T37,Hombres,0.5,0.5,5,0.5,0.5,5,0.5,0.5,5,0.5,0.5,5,0.5,0.5,5,85.32,-,100
,22:21:13,T38,Mujeres,0.5,0.5,5,0.5,0.5,5,0.5,0.5,5,0.5,0.5,5,0.5,0.5,5,-,84.18,100
,22:26:21,T39,Mujeres,1,1,5,1,1,5,1,1,5,1,1,5,1,1,5,-,84.04,100
,22:27:56,T40,Mujeres,1,1,10,1,1,10,1,1,10,1,1,10,1,1,10,-,85.61,100
,22:30:09,T41,Hombres,1,1,10,1,1,10,1,1,10,1,1,10,1,1,10,85.89,-,100
,22:32:28,T42,Hombres,0.5,0.5,10,0.5,0.5,10,0.5,0.5,10,0.5,0.5,10,0.5,0.5,10,85.32,-,100
,22:35:04,T43,Hombres,2,2,10,2,2,10,2,2,10,2,2,10,2,2,10,86.18,-,100
,22:37:11,T44,Hombres,5,5,10,5,5,10,5,5,10,5,5,10,5,5,10,86.60,-,100
,22:39:18,T45,Hombres,10,10,30,10,10,30,10,10,30,10,10,30,10,10,30,88.88,-,100
,22:42:09,T46,Hombres,25,25,60,25,25,60,25,25,60,25,25,60,25,25,60,91.73,-,100
,22:44:21,T47,Hombres,50,50,120,50,50,120,50,50,120,50,50,120,50,50,120,93.73,-,100
,22:47:41,T47,Hombres,200,200,1000,200,200,1000,200,200,1000,200,200,1000,200,200,1000,ERROR,-,100
,23:01:31,T48,Hombres,100,100,300,100,100,300,100,100,300,100,100,300,100,100,300,ERROR,-,100
