region,period,agegroup,sex,population,deaths,region_idx,period_idx,age_idx,region_period_idx,cell_idx
Adjuntas,1980-1984,0,1,1099,25,1,1,1,1,1
Adjuntas,1985-1989,0,1,943,10,1,2,1,2,2
Adjuntas,1990-1994,0,1,800,11,1,3,1,3,3
Adjuntas,1995-1999,0,1,680,15,1,4,1,4,4
Adjuntas,2000-2004,0,1,599,10,1,5,1,5,5
Adjuntas,2005-2009,0,1,568,2,1,6,1,6,6
Adjuntas,2010-2014,0,1,541,4,1,7,1,7,7
Adjuntas,2015-2019,0,1,366,5,1,8,1,8,8
Adjuntas,2020-2024,0,1,253,3,1,9,1,9,9
Adjuntas,1980-1984,0,2,1168,18,1,1,1,1,10
Adjuntas,1985-1989,0,2,945,15,1,2,1,2,11
Adjuntas,1990-1994,0,2,814,13,1,3,1,3,12
Adjuntas,1995-1999,0,2,797,5,1,4,1,4,13
Adjuntas,2000-2004,0,2,759,8,1,5,1,5,14
Adjuntas,2005-2009,0,2,676,4,1,6,1,6,15
Adjuntas,2010-2014,0,2,629,3,1,7,1,7,16
Adjuntas,2015-2019,0,2,332,4,1,8,1,8,17
Adjuntas,2020-2024,0,2,243,1,1,9,1,9,18
Adjuntas,1980-1984,01-04,1,4078,3,1,1,2,1,19
Adjuntas,1985-1989,01-04,1,3939,4,1,2,2,2,20
Adjuntas,1990-1994,01-04,1,3659,1,1,3,2,3,21
Adjuntas,1995-1999,01-04,1,3199,2,1,4,2,4,22
Adjuntas,2000-2004,01-04,1,2859,1,1,5,2,5,23
Adjuntas,2005-2009,01-04,1,2578,0,1,6,2,6,24
Adjuntas,2010-2014,01-04,1,2210,0,1,7,2,7,25
Adjuntas,2015-2019,01-04,1,1666,0,1,8,2,8,26
Adjuntas,2020-2024,01-04,1,1076,0,1,9,2,9,27
Adjuntas,1980-1984,01-04,2,4168,2,1,1,2,1,28
Adjuntas,1985-1989,01-04,2,3804,1,1,2,2,2,29
Adjuntas,1990-1994,01-04,2,3446,1,1,3,2,3,30
Adjuntas,1995-1999,01-04,2,3095,3,1,4,2,4,31
Adjuntas,2000-2004,01-04,2,2817,0,1,5,2,5,32
Adjuntas,2005-2009,01-04,2,2520,0,1,6,2,6,33
Adjuntas,2010-2014,01-04,2,2233,0,1,7,2,7,34
Adjuntas,2015-2019,01-04,2,1714,0,1,8,2,8,35
Adjuntas,2020-2024,01-04,2,1058,0,1,9,2,9,36
Adjuntas,1980-1984,05-09,1,5190,0,1,1,3,1,37
Adjuntas,1985-1989,05-09,1,5222,2,1,2,3,2,38
Adjuntas,1990-1994,05-09,1,5060,1,1,3,3,3,39
Adjuntas,1995-1999,05-09,1,4665,0,1,4,3,4,40
Adjuntas,2000-2004,05-09,1,4298,1,1,5,3,5,41
Adjuntas,2005-2009,05-09,1,3744,0,1,6,3,6,42
Adjuntas,2010-2014,05-09,1,3097,1,1,7,3,7,43
Adjuntas,2015-2019,05-09,1,2502,0,1,8,3,8,44
Adjuntas,2020-2024,05-09,1,1926,0,1,9,3,9,45
Adjuntas,1980-1984,05-09,2,5148,1,1,1,3,1,46
Adjuntas,1985-1989,05-09,2,5188,1,1,2,3,2,47
Adjuntas,1990-1994,05-09,2,4898,1,1,3,3,3,48
Adjuntas,1995-1999,05-09,2,4206,0,1,4,3,4,49
Adjuntas,2000-2004,05-09,2,3777,0,1,5,3,5,50
Adjuntas,2005-2009,05-09,2,3468,0,1,6,3,6,51
Adjuntas,2010-2014,05-09,2,2913,0,1,7,3,7,52
Adjuntas,2015-2019,05-09,2,2587,0,1,8,3,8,53
Adjuntas,2020-2024,05-09,2,1873,0,1,9,3,9,54
Adjuntas,1980-1984,10-14,1,5656,2,1,1,4,1,55
Adjuntas,1985-1989,10-14,1,5285,3,1,2,4,2,56
Adjuntas,1990-1994,10-14,1,5022,2,1,3,4,3,57
Adjuntas,1995-1999,10-14,1,4891,1,1,4,4,4,58
Adjuntas,2000-2004,10-14,1,4678,0,1,5,4,5,59
Adjuntas,2005-2009,10-14,1,4154,0,1,6,4,6,60
Adjuntas,2010-2014,10-14,1,3592,0,1,7,4,7,61
Adjuntas,2015-2019,10-14,1,2901,0,1,8,4,8,62
Adjuntas,2020-2024,10-14,1,2447,0,1,9,4,9,63
Adjuntas,1980-1984,10-14,2,5608,0,1,1,4,1,64
Adjuntas,1985-1989,10-14,2,5576,0,1,2,4,2,65
Adjuntas,1990-1994,10-14,2,5306,1,1,3,4,3,66
Adjuntas,1995-1999,10-14,2,4758,2,1,4,4,4,67
Adjuntas,2000-2004,10-14,2,4403,0,1,5,4,5,68
Adjuntas,2005-2009,10-14,2,4114,1,1,6,4,6,69
Adjuntas,2010-2014,10-14,2,3496,0,1,7,4,7,70
Adjuntas,2015-2019,10-14,2,2782,0,1,8,4,8,71
Adjuntas,2020-2024,10-14,2,2547,0,1,9,4,9,72
Adjuntas,1980-1984,15-19,1,5306,8,1,1,5,1,73
Adjuntas,1985-1989,15-19,1,4876,3,1,2,5,2,74
Adjuntas,1990-1994,15-19,1,4683,3,1,3,5,3,75
Adjuntas,1995-1999,15-19,1,4777,6,1,4,5,4,76
Adjuntas,2000-2004,15-19,1,4672,5,1,5,5,5,77
Adjuntas,2005-2009,15-19,1,4537,3,1,6,5,6,78
Adjuntas,2010-2014,15-19,1,3893,1,1,7,5,7,79
Adjuntas,2015-2019,15-19,1,3215,3,1,8,5,8,80
Adjuntas,2020-2024,15-19,1,2844,1,1,9,5,9,81
Adjuntas,1980-1984,15-19,2,5100,4,1,1,5,1,82
Adjuntas,1985-1989,15-19,2,4910,2,1,2,5,2,83
Adjuntas,1990-1994,15-19,2,4748,1,1,3,5,3,84
Adjuntas,1995-1999,15-19,2,4619,2,1,4,5,4,85
Adjuntas,2000-2004,15-19,2,4306,1,1,5,5,5,86
Adjuntas,2005-2009,15-19,2,3936,0,1,6,5,6,87
Adjuntas,2010-2014,15-19,2,3566,1,1,7,5,7,88
Adjuntas,2015-2019,15-19,2,3127,1,1,8,5,8,89
Adjuntas,2020-2024,15-19,2,2641,0,1,9,5,9,90
Adjuntas,1980-1984,20-24,1,3840,2,1,1,6,1,91
Adjuntas,1985-1989,20-24,1,3785,5,1,2,6,2,92
Adjuntas,1990-1994,20-24,1,3735,4,1,3,6,3,93
Adjuntas,1995-1999,20-24,1,3690,5,1,4,6,4,94
Adjuntas,2000-2004,20-24,1,3784,4,1,5,6,5,95
Adjuntas,2005-2009,20-24,1,3604,7,1,6,6,6,96
Adjuntas,2010-2014,20-24,1,3663,1,1,7,6,7,97
Adjuntas,2015-2019,20-24,1,3107,3,1,8,6,8,98
Adjuntas,2020-2024,20-24,1,2806,3,1,9,6,9,99
Adjuntas,1980-1984,20-24,2,4006,1,1,1,6,1,100
Adjuntas,1985-1989,20-24,2,3976,1,1,2,6,2,101
Adjuntas,1990-1994,20-24,2,3907,1,1,3,6,3,102
Adjuntas,1995-1999,20-24,2,3790,6,1,4,6,4,103
Adjuntas,2000-2004,20-24,2,3769,3,1,5,6,5,104
Adjuntas,2005-2009,20-24,2,3481,3,1,6,6,6,105
Adjuntas,2010-2014,20-24,2,3309,0,1,7,6,7,106
Adjuntas,2015-2019,20-24,2,2932,1,1,8,6,8,107
Adjuntas,2020-2024,20-24,2,2869,0,1,9,6,9,108
Adjuntas,1980-1984,25-29,1,3040,3,1,1,7,1,109
Adjuntas,1985-1989,25-29,1,3265,9,1,2,7,2,110
Adjuntas,1990-1994,25-29,1,3263,8,1,3,7,3,111
Adjuntas,1995-1999,25-29,1,2980,10,1,4,7,4,112
Adjuntas,2000-2004,25-29,1,2915,4,1,5,7,5,113
