period,sex,cobertura
1980-1984,1,91.02564102564102
1980-1984,2,91.02564102564102
1985-1989,1,96.15384615384616
1985-1989,2,92.3076923076923
1990-1994,1,93.58974358974359
1990-1994,2,94.87179487179486
1995-1999,1,93.58974358974359
1995-1999,2,97.43589743589743
2000-2004,1,93.58974358974359
2000-2004,2,97.43589743589743
2005-2009,1,91.02564102564102
2005-2009,2,98.71794871794873
2010-2014,1,89.74358974358975
2010-2014,2,98.71794871794873
2015-2019,1,92.3076923076923
2015-2019,2,98.71794871794873
2020-2024,1,83.33333333333334
2020-2024,2,97.43589743589743
