period,sex,cobertura
1980-1984,1,87.17948717948718
1980-1984,2,79.48717948717949
1985-1989,1,85.8974358974359
1985-1989,2,87.17948717948718
1990-1994,1,74.35897435897436
1990-1994,2,87.17948717948718
1995-1999,1,71.7948717948718
1995-1999,2,92.3076923076923
2000-2004,1,75.64102564102564
2000-2004,2,96.15384615384616
2005-2009,1,69.23076923076923
2005-2009,2,94.87179487179486
2010-2014,1,79.48717948717949
2010-2014,2,92.3076923076923
2015-2019,1,79.48717948717949
2015-2019,2,91.02564102564102
2020-2024,1,75.64102564102564
2020-2024,2,84.61538461538461
