period,sex,cobertura
1980-1984,1,84.61538461538461
1980-1984,2,76.92307692307693
1985-1989,1,89.74358974358975
1985-1989,2,83.33333333333334
1990-1994,1,80.76923076923077
1990-1994,2,89.74358974358975
1995-1999,1,79.48717948717949
1995-1999,2,93.58974358974359
2000-2004,1,88.46153846153845
2000-2004,2,94.87179487179486
2005-2009,1,70.51282051282051
2005-2009,2,92.3076923076923
2010-2014,1,76.92307692307693
2010-2014,2,92.3076923076923
2015-2019,1,88.46153846153845
2015-2019,2,92.3076923076923
2020-2024,1,80.76923076923077
2020-2024,2,82.05128205128204
