period,sex,pct_dentro,pct_dentro_sobreestima,pct_dentro_subestima,pct_fuera_sobreestima,pct_fuera_subestima
1980-1984,1,91.02564102564102,47.43589743589743,43.58974358974359,5.128205128205128,3.8461538461538463
1980-1984,2,94.87179487179486,41.02564102564102,53.84615384615385,0,5.128205128205128
1985-1989,1,94.87179487179486,44.871794871794876,50,2.564102564102564,2.564102564102564
1985-1989,2,94.87179487179486,26.923076923076923,67.94871794871796,3.8461538461538463,1.282051282051282
1990-1994,1,94.87179487179486,50,44.871794871794876,2.564102564102564,2.564102564102564
1990-1994,2,96.15384615384616,26.923076923076923,69.23076923076923,3.8461538461538463,0
1995-1999,1,91.02564102564102,47.43589743589743,43.58974358974359,6.41025641025641,2.564102564102564
1995-1999,2,98.71794871794873,33.33333333333333,65.38461538461539,0,1.282051282051282
2000-2004,1,88.46153846153845,34.61538461538461,53.84615384615385,3.8461538461538463,7.6923076923076925
2000-2004,2,98.71794871794873,23.076923076923077,75.64102564102564,1.282051282051282,0
2005-2009,1,89.74358974358975,50,39.743589743589745,1.282051282051282,8.974358974358974
2005-2009,2,98.71794871794873,21.794871794871796,76.92307692307693,1.282051282051282,0
2010-2014,1,89.74358974358975,42.30769230769231,47.43589743589743,6.41025641025641,3.8461538461538463
2010-2014,2,98.71794871794873,19.230769230769234,79.48717948717949,0,1.282051282051282
2015-2019,1,96.15384615384616,39.743589743589745,56.41025641025641,2.564102564102564,1.282051282051282
2015-2019,2,98.71794871794873,34.61538461538461,64.1025641025641,1.282051282051282,0
2020-2024,1,87.17948717948718,51.28205128205128,35.8974358974359,11.538461538461538,1.282051282051282
2020-2024,2,97.43589743589743,38.46153846153847,58.97435897435898,2.564102564102564,0
