region,period,sex,Age,AgeInt,nMx,nAx,nqx,lx,ndx,nLx,Sx,Tx,ex
Adjuntas,1980-1984,1,0,1,0.018574523475429996,0.11222546713095322,0.018273198632777574,100000,1827.3198632777494,98377.75196197626,0.9812290657387565,7221404.72383113,72.2140472383113
Adjuntas,1980-1984,1,1,4,4.817996241818687e-4,1.5979428525194412,0.0019249707084323857,98172.68013672225,188.97953363148554,392236.78090740193,0.9980726121652732,7123026.971869154,72.55610177851028
Adjuntas,1980-1984,1,5,5,2.0387213792818468e-4,2.5,0.0010188414062016933,97983.70060309077,99.82985130729503,489668.9283871856,0.998817030413755,6730790.190961752,68.69295759941362
Adjuntas,1980-1984,1,10,5,2.696346661792201e-4,2.5,0.0013472651574186621,97883.87075178347,131.87552853715897,489089.6649375744,0.9968324977562975,6241121.2625745665,63.76046650628445
Adjuntas,1980-1984,1,15,5,0.0010005354295197174,2.5,0.004990194980403324,97751.99522324631,487.80151588744775,487540.4723265129,0.9940040217574269,5752031.597636992,58.84311194365378
Adjuntas,1980-1984,1,20,5,0.0014062879393969656,2.5,0.007006805731001815,97264.19370735886,681.5113098900038,484617.1902620693,0.9919391122283473,5264491.125310479,54.12568515346851
Adjuntas,1980-1984,1,25,5,0.001832841498889916,2.5,0.009122407676053422,96582.68239746886,881.0666032764857,480710.74547915306,0.9898456771275191,4779873.93504841,49.48996876456266
Adjuntas,1980-1984,1,30,5,0.0022517526737810176,2.5,0.011195738284860372,95701.61579419237,1071.4502438700438,475829.4533612868,0.987395357713165,4299163.189569257,44.92257684357875
Adjuntas,1980-1984,1,35,5,0.002825721449020113,2.5,0.014029498607266688,94630.16555032233,1327.6137757936667,469831.7933121275,0.9840468177489664,3823333.73620797,40.40290655705132
Adjuntas,1980-1984,1,40,5,0.003613193383955782,2.5,0.017904238231967625,93302.55177452866,1670.5111146216514,462336.4810860892,0.9774733215222082,3353501.9428958427,35.94223179447209
Adjuntas,1980-1984,1,45,5,0.005521867337264528,2.5,0.02723338878626784,91632.04065990701,2495.4509885703446,451921.5758281092,0.9685659035990394,2891165.4618097534,31.55190521774294
Adjuntas,1980-1984,1,50,5,0.007280631288915247,2.5,0.03575240622601834,89136.58967133667,3186.8475635315554,437715.8294478544,0.9559275670671493,2439243.885981644,27.36523682334711
Adjuntas,1980-1984,1,55,5,0.010825445609832599,2.5,0.05270094988280592,85949.74210780511,4529.633051263518,418424.62791086675,0.933220544511932,2001528.0565337897,23.28719094960531
Adjuntas,1980-1984,1,60,5,0.017023132076140726,2.5,0.08164118854218676,81420.1090565416,6647.234474610523,390482.4590961816,0.8985905335632751,1583103.4286229229,19.44364171169985
Adjuntas,1980-1984,1,65,5,0.026197309696999675,2.5,0.12293512465212118,74772.87458193107,9192.212657327109,350883.8412663376,0.8465888690843097,1192620.9695267412,15.949914674203779
Adjuntas,1980-1984,1,70,5,0.04153981224359113,2.5,0.18815885268653518,65580.66192460396,12339.582106157039,297054.3543576272,0.781552566576783,841737.1282604036,12.83514230503075
Adjuntas,1980-1984,1,75,5,0.058651411416217464,2.5,0.2557559399419025,53241.079818446924,13616.722412488743,232163.59306101274,0.6996621956558153,544682.7739027764,10.230498249850582
Adjuntas,1980-1984,1,80,5,0.08787627901465485,2.5,0.36024001491581115,39624.35740595818,14274.279102951808,162436.0892724114,0.48023641673802775,312519.18084176374,7.887047293662137
Adjuntas,1980-1984,1,85,NA,0.19019812560566277,5.92041924981168,1,25350.078303006372,25350.078303006372,150083.0915693523,0,150083.0915693523,5.92041924981168
Adjuntas,1980-1984,2,0,1,0.011146884465463754,0.1261201427646663,0.011039349742278312,100000,1103.9349742278282,99035.2934623247,0.9886875900970148,7820588.519720518,78.20588519720518
Adjuntas,1980-1984,2,1,4,2.797068604492e-4,1.5060389779693133,0.0011180475164379315,98896.06502577217,110.57049988754443,395308.5015861827,0.9988386083175645,7721553.226258193,78.07745661312174
Adjuntas,1980-1984,2,5,5,1.278364086635426e-4,2.5,6.389778317396499e-4,98785.49452588463,63.121741099472274,493769.66827667446,0.9993096980974231,7326244.72467201,74.16316292016258
Adjuntas,1980-1984,2,10,5,1.4838678404659468e-4,2.5,7.416587893264533e-4,98722.37278478516,73.21831547899637,493428.8181352283,0.9982640804859051,6832475.056395336,69.20898337087316
Adjuntas,1980-1984,2,15,5,5.469304488303058e-4,2.5,0.0027309181883753116,98649.15446930616,269.402770208093,492572.26542101055,0.9964865660735064,6339046.238260108,64.25849539574561
Adjuntas,1980-1984,2,20,5,8.614698391265347e-4,2.5,0.0042980925029899196,98379.75169909807,422.84527322389476,490841.64531243057,0.9950757501911396,5846473.9728390975,59.4276146449422
Adjuntas,1980-1984,2,25,5,0.0011137142918062266,2.5,0.005553110014064544,97956.90642587417,543.9654780203127,488424.6184343201,0.9939457860188501,5355632.327526666,54.67335099622989
Adjuntas,1980-1984,2,30,5,0.0013159382725416596,2.5,0.006558116172540248,97412.94094785386,638.8453834448301,485467.5912806572,0.9927319209293586,4867207.709092347,49.96469320947627
Adjuntas,1980-1984,2,35,5,0.0016029436771058756,2.5,0.007982728724193136,96774.09556440903,772.5213524198189,481939.17444099556,0.9908586360341546,4381740.117811689,45.278027061439964
Adjuntas,1980-1984,2,40,5,0.002072547823221028,2.5,0.010309322705275882,96001.57421198921,989.7112087658752,477533.59303803137,0.9881455844341674,3899800.943370694,40.62226036793118
Adjuntas,1980-1984,2,45,5,0.002701240024910386,2.5,0.013415603213654332,95011.86300322333,1274.641454641329,471872.7113795134,0.9832097102300523,3422267.3503326625,36.01936897307824
Adjuntas,1980-1984,2,50,5,0.004083437990181424,2.5,0.020210865411814504,93737.221548582,1894.5103687958326,463949.83182092046,0.9730009721907207,2950394.638953149,31.475166323593474
Adjuntas,1980-1984,2,55,5,0.006902534864285638,2.5,0.03392721486283118,91842.71117978617,3115.967395781554,451423.63740947697,0.9589893320674764,2486444.8071322287,27.072859404867774
Adjuntas,1980-1984,2,60,5,0.009908068829336314,2.5,0.04834288262552597,88726.74378400462,4289.306560495243,432910.45251878496,0.9423955109730696,2035021.1697227515,22.93582614365725
Adjuntas,1980-1984,2,65,5,0.013936533683054907,2.5,0.06733657239216245,84437.43722350938,5685.727604209504,407972.86710702314,0.9132891388478976,1602110.7172039666,18.97393821846006
Adjuntas,1980-1984,2,70,5,0.02271768040946942,2.5,0.10748393768372182,78751.70961929987,8464.543849207388,372597.1884734809,0.8621154870200004,1194137.8500969436,15.163326051835874
Adjuntas,1980-1984,2,75,5,0.03762387437749146,2.5,0.17194616921213654,70287.16577009248,12085.608898945808,321221.8066030979,0.7766544098599841,821540.6616234626,11.688345270752572
Adjuntas,1980-1984,2,80,5,0.06658606585113962,2.5,0.2854181499384225,58201.55687114668,16611.78068569857,249478.33264148695,0.5013613216089321,500318.8550203647,8.596313946172064
Adjuntas,1980-1984,2,85,NA,0.14011156095688446,6.031302531189014,1,41589.77618544811,41589.77618544811,250840.52237887774,0,250840.52237887774,6.031302531189014
Adjuntas,1985-1989,1,0,1,0.013619755397001212,0.12211245909305395,0.013458833327754773,100000,1345.8833327754837,98818.46579064209,0.9858956550168639,7120395.302559762,71.20395302559763
Adjuntas,1985-1989,1,1,4,5.176437945851697e-4,1.612448535183475,0.002068019310792816,98654.11666722452,204.01861835701857,394129.3617177899,0.9980135667858336,7021576.83676912,71.17368310593643
Adjuntas,1985-1989,1,5,5,2.2917776630972537e-4,2.5,0.0011452326768816453,98450.0980488675,112.74826932775613,491968.6195710181,0.9987014804679057,6627447.47505133,67.3178351916082
Adjuntas,1985-1989,1,10,5,2.906074059207387e-4,2.5,0.0014519821376974948,98337.34977953974,142.78407534840517,491329.7887093277,0.9971401597743293,6135478.855480312,62.392151804327675
Adjuntas,1985-1989,1,15,5,8.557760671685671e-4,2.5,0.004269745470875643,98194.56570419134,419.2658021800744,489924.6640155065,0.9938555063364376,5644149.066770985,57.47924059029745
Adjuntas,1985-1989,1,20,5,0.0016119258665293448,2.5,0.00802728087843212,97775.29990201126,784.8697952863877,486914.3250218403,0.9903080532325647,5154224.4027554775,52.714994563258344
Adjuntas,1985-1989,1,25,5,0.002287018502022561,2.5,0.011370083531597044,96990.43010672487,1102.789292078989,482195.1773034269,0.9880174539684646,4667310.077733638,48.12134632868308
Adjuntas,1985-1989,1,30,5,0.0025363923486634928,2.5,0.012602052370293788,95887.64081464589,1208.3810712100822,476417.2513952042,0.9846896282093262,4185114.900430211,43.646030550696125
Adjuntas,1985-1989,1,35,5,0.0036435403246102157,2.5,0.018053257196585282,94679.2597434358,1709.2690273305343,469123.1261488527,0.9804947005773638,3708697.6490350063,39.17117285332529
