period,region,sex,e0
1980-1984,Adjuntas,1,72.18509075730732
1980-1984,Adjuntas,2,78.13240823439965
1985-1989,Adjuntas,1,71.13583804610813
1985-1989,Adjuntas,2,78.06543654816765
1990-1994,Adjuntas,1,70.96134434438817
1990-1994,Adjuntas,2,77.97332917355554
1995-1999,Adjuntas,1,71.33283802934568
1995-1999,Adjuntas,2,78.6527076238362
2000-2004,Adjuntas,1,73.66576217520168
2000-2004,Adjuntas,2,79.73644952890338
2005-2009,Adjuntas,1,75.89770851043002
2005-2009,Adjuntas,2,81.51828531328943
2010-2014,Adjuntas,1,76.52965406292816
2010-2014,Adjuntas,2,82.49224232108396
2015-2019,Adjuntas,1,77.2892395043304
2015-2019,Adjuntas,2,84.73999520816737
2020-2024,Adjuntas,1,79.07872986084682
2020-2024,Adjuntas,2,85.44707110414498
1980-1984,Aguada,1,72.8333969182717
1980-1984,Aguada,2,77.11733855848202
1985-1989,Aguada,1,72.61391255062628
1985-1989,Aguada,2,77.91795044671896
1990-1994,Aguada,1,72.42596394572077
1990-1994,Aguada,2,79.07456734443856
1995-1999,Aguada,1,72.60402816124639
1995-1999,Aguada,2,78.41631924822981
2000-2004,Aguada,1,75.11325031519132
2000-2004,Aguada,2,80.13649317679081
2005-2009,Aguada,1,76.53885829709748
2005-2009,Aguada,2,80.78074533474069
2010-2014,Aguada,1,76.28361732419772
2010-2014,Aguada,2,82.66144703640235
2015-2019,Aguada,1,78.96434221966587
2015-2019,Aguada,2,84.48168959085658
2020-2024,Aguada,1,77.25162120511848
2020-2024,Aguada,2,83.83934654905043
1980-1984,Aguadilla,1,71.02479803008744
1980-1984,Aguadilla,2,76.58780935280323
1985-1989,Aguadilla,1,70.56280204234622
1985-1989,Aguadilla,2,77.31481840918758
1990-1994,Aguadilla,1,70.45411807695626
1990-1994,Aguadilla,2,77.46300587098264
1995-1999,Aguadilla,1,70.54467442577293
1995-1999,Aguadilla,2,77.76069340394511
2000-2004,Aguadilla,1,72.9524842626285
2000-2004,Aguadilla,2,79.609027839554
2005-2009,Aguadilla,1,73.72351225379212
2005-2009,Aguadilla,2,80.63192102399168
2010-2014,Aguadilla,1,75.04257944494225
2010-2014,Aguadilla,2,80.8542802751908
2015-2019,Aguadilla,1,76.73717561797498
2015-2019,Aguadilla,2,81.87178555424694
2020-2024,Aguadilla,1,75.69019698492328
2020-2024,Aguadilla,2,82.22496770381333
1980-1984,Aguas Buenas,1,71.49200920788078
1980-1984,Aguas Buenas,2,78.64892599239732
1985-1989,Aguas Buenas,1,71.90011796318151
1985-1989,Aguas Buenas,2,78.70684746986576
1990-1994,Aguas Buenas,1,71.783243418566
1990-1994,Aguas Buenas,2,80.71934955602116
1995-1999,Aguas Buenas,1,71.88744557572706
1995-1999,Aguas Buenas,2,78.71579964726182
2000-2004,Aguas Buenas,1,73.98027769492938
2000-2004,Aguas Buenas,2,81.13468388332578
2005-2009,Aguas Buenas,1,74.41727187696794
2005-2009,Aguas Buenas,2,81.6445959263188
2010-2014,Aguas Buenas,1,76.44083752083168
2010-2014,Aguas Buenas,2,82.29512546216766
2015-2019,Aguas Buenas,1,77.26290751743262
2015-2019,Aguas Buenas,2,84.35431513593677
2020-2024,Aguas Buenas,1,76.99702408450129
2020-2024,Aguas Buenas,2,82.80818232362769
1980-1984,Aibonito,1,71.37276782804813
1980-1984,Aibonito,2,78.27078800975377
1985-1989,Aibonito,1,70.99789030562414
1985-1989,Aibonito,2,79.20578945587641
1990-1994,Aibonito,1,72.2620118352047
1990-1994,Aibonito,2,78.74217553427358
1995-1999,Aibonito,1,72.13685372997158
1995-1999,Aibonito,2,79.23799656838726
2000-2004,Aibonito,1,73.93859190813781
2000-2004,Aibonito,2,79.56048452236041
2005-2009,Aibonito,1,74.24349954241032
2005-2009,Aibonito,2,80.2837659015941
2010-2014,Aibonito,1,75.09097764987487
2010-2014,Aibonito,2,81.86977749573568
2015-2019,Aibonito,1,76.5919031094184
2015-2019,Aibonito,2,83.33360775877065
2020-2024,Aibonito,1,78.87226770133782
2020-2024,Aibonito,2,84.28797268585393
1980-1984,Anasco,1,71.46088894274439
1980-1984,Anasco,2,76.43751096095576
1985-1989,Anasco,1,70.95929617421027
1985-1989,Anasco,2,76.4715827607991
1990-1994,Anasco,1,70.18208413492295
1990-1994,Anasco,2,76.94974452237953
1995-1999,Anasco,1,71.23398579109423
1995-1999,Anasco,2,77.54360975882982
2000-2004,Anasco,1,73.60414499660278
2000-2004,Anasco,2,80.13611225565695
2005-2009,Anasco,1,74.90299778855326
2005-2009,Anasco,2,81.29877120304955
2010-2014,Anasco,1,75.25450025579372
2010-2014,Anasco,2,81.15328813741064
2015-2019,Anasco,1,76.0193232194925
2015-2019,Anasco,2,83.3976912797132
2020-2024,Anasco,1,77.26977907639768
2020-2024,Anasco,2,82.52049883204108
1980-1984,Arecibo,1,70.86026106816188
1980-1984,Arecibo,2,77.12506592480781
1985-1989,Arecibo,1,70.35464135682145
1985-1989,Arecibo,2,77.02745497730834
1990-1994,Arecibo,1,70.61668466092259
1990-1994,Arecibo,2,77.69811937980725
1995-1999,Arecibo,1,70.37308565785806
1995-1999,Arecibo,2,77.5891205486592
2000-2004,Arecibo,1,73.01702592230659
2000-2004,Arecibo,2,79.18475275913896
2005-2009,Arecibo,1,73.58295733469666
2005-2009,Arecibo,2,80.18578900596842
2010-2014,Arecibo,1,75.27065112072434
2010-2014,Arecibo,2,80.76823938061631
2015-2019,Arecibo,1,76.69954032108303
2015-2019,Arecibo,2,83.42965567753514
2020-2024,Arecibo,1,76.61868800838806
2020-2024,Arecibo,2,82.31782413776907
1980-1984,Arroyo,1,69.55467006700648
1980-1984,Arroyo,2,77.24339309793503
1985-1989,Arroyo,1,69.41174639395571
1985-1989,Arroyo,2,76.03357829587756
1990-1994,Arroyo,1,69.59382017340951
1990-1994,Arroyo,2,77.32831772527932
1995-1999,Arroyo,1,69.64088673789095
1995-1999,Arroyo,2,77.08089264141368
2000-2004,Arroyo,1,72.03341594293161
2000-2004,Arroyo,2,79.27469807986022
2005-2009,Arroyo,1,72.83037052337232
2005-2009,Arroyo,2,79.98949849410965
2010-2014,Arroyo,1,74.17783908405045
2010-2014,Arroyo,2,81.77042547953815
2015-2019,Arroyo,1,75.95058270873531
2015-2019,Arroyo,2,82.8495297416108
2020-2024,Arroyo,1,76.20565433935106
2020-2024,Arroyo,2,82.24913683994481
1980-1984,Barceloneta,1,70.21623121442481
1980-1984,Barceloneta,2,76.6167518632154
1985-1989,Barceloneta,1,71.56987803656138
1985-1989,Barceloneta,2,77.63814997250623
1990-1994,Barceloneta,1,71.13671214382427
1990-1994,Barceloneta,2,78.24609028652895
1995-1999,Barceloneta,1,69.95304730170508
1995-1999,Barceloneta,2,77.31710233242364
2000-2004,Barceloneta,1,73.29038719591517
2000-2004,Barceloneta,2,79.76060173159189
2005-2009,Barceloneta,1,74.37295975206104
2005-2009,Barceloneta,2,81.71544144397281
2010-2014,Barceloneta,1,74.8579367788018
2010-2014,Barceloneta,2,81.67296125167393
2015-2019,Barceloneta,1,77.43185193005338
2015-2019,Barceloneta,2,83.37755805521499
2020-2024,Barceloneta,1,75.84209842023898
2020-2024,Barceloneta,2,82.50877007643317
1980-1984,Barranquitas,1,71.04087166899997
1980-1984,Barranquitas,2,77.56228359815248
1985-1989,Barranquitas,1,71.13701001417847
1985-1989,Barranquitas,2,77.27576652646044
1990-1994,Barranquitas,1,70.6558003029686
1990-1994,Barranquitas,2,78.42310611243276
1995-1999,Barranquitas,1,70.91685193604701
1995-1999,Barranquitas,2,77.93302699941157
2000-2004,Barranquitas,1,73.74643631041653
2000-2004,Barranquitas,2,80.64109910650082
2005-2009,Barranquitas,1,74.82292176527115
2005-2009,Barranquitas,2,81.51011479451405
2010-2014,Barranquitas,1,75.63564259480783
2010-2014,Barranquitas,2,82.67076214939706
2015-2019,Barranquitas,1,77.52312258771346
2015-2019,Barranquitas,2,84.17176501234145
2020-2024,Barranquitas,1,76.92287135546124
2020-2024,Barranquitas,2,84.51808104135247
1980-1984,Bayamon,1,71.80981529524813
1980-1984,Bayamon,2,77.85972087598427
1985-1989,Bayamon,1,71.35820727704501
1985-1989,Bayamon,2,78.75052184041498
1990-1994,Bayamon,1,69.34697501408984
1990-1994,Bayamon,2,79.68174578997713
1995-1999,Bayamon,1,70.56275506324002
1995-1999,Bayamon,2,79.15063729792571
2000-2004,Bayamon,1,73.40040801505769
2000-2004,Bayamon,2,80.70139555902152
2005-2009,Bayamon,1,74.31711914857901
2005-2009,Bayamon,2,82.12847299378242
2010-2014,Bayamon,1,75.40860029007241
2010-2014,Bayamon,2,82.31109526191857
2015-2019,Bayamon,1,76.77488956284729
2015-2019,Bayamon,2,84.04716033694156
2020-2024,Bayamon,1,75.61362855980045
2020-2024,Bayamon,2,83.321867951581
1980-1984,Cabo Rojo,1,72.21573318951523
1980-1984,Cabo Rojo,2,77.33153362760187
1985-1989,Cabo Rojo,1,72.97583011840003
1985-1989,Cabo Rojo,2,78.49039461815825
1990-1994,Cabo Rojo,1,72.33049041805565
1990-1994,Cabo Rojo,2,78.75534935586913
1995-1999,Cabo Rojo,1,72.19966267189757
1995-1999,Cabo Rojo,2,79.47170764633456
2000-2004,Cabo Rojo,1,74.52742297244542
2000-2004,Cabo Rojo,2,81.29907739242732
2005-2009,Cabo Rojo,1,75.39652399935014
2005-2009,Cabo Rojo,2,80.94097724300453
2010-2014,Cabo Rojo,1,76.0209328553126
2010-2014,Cabo Rojo,2,83.47595900738695
2015-2019,Cabo Rojo,1,79.22525701492482
2015-2019,Cabo Rojo,2,83.35844937886257
2020-2024,Cabo Rojo,1,78.06638472424757
2020-2024,Cabo Rojo,2,83.6287681996308
1980-1984,Caguas,1,71.43747120310779
1980-1984,Caguas,2,78.09728983894784
1985-1989,Caguas,1,70.44852104015031
1985-1989,Caguas,2,78.87063556277572
1990-1994,Caguas,1,68.87047208965653
1990-1994,Caguas,2,77.96320348786583
1995-1999,Caguas,1,69.79061674466563
