region,period,sex,e0_observado,e0_estimado,e0_lower,e0_upper,est_eval
Adjuntas,1980-1984,1,72.51269029790603,72.18549334306194,70.97771517142077,73.37826154185491,Estimación adecuada
Adjuntas,1980-1984,2,78.2101193417503,78.18460962230745,76.88668730847331,79.76787360227054,Estimación adecuada
Adjuntas,1985-1989,1,70.2677069043191,71.25314922268602,69.98896193091115,72.5163846534508,Estimación adecuada
Adjuntas,1985-1989,2,77.91547300424594,78.17698447576515,76.96818506171438,79.49209056798138,Estimación adecuada
Adjuntas,1990-1994,1,70.85695498452985,71.05200812202793,69.90603726032357,72.13233599548026,Estimación adecuada
Adjuntas,1990-1994,2,77.35962004496703,78.06689569549174,76.9390162162815,79.48772558466786,Estimación adecuada
Adjuntas,1995-1999,1,70.83267942470557,71.42804070840349,70.23985530028547,72.62942597444413,Estimación adecuada
Adjuntas,1995-1999,2,78.44774596592244,78.6464309537011,77.52060324199827,79.96093630545032,Estimación adecuada
Adjuntas,2000-2004,1,73.94792765703392,73.68652090934188,72.53871541026811,74.80015497988094,Estimación adecuada
Adjuntas,2000-2004,2,79.44020804972338,79.82804930755296,78.7630513399362,81.09939998725052,Estimación adecuada
Adjuntas,2005-2009,1,77.09251727217094,75.75120216861438,74.5598868982971,77.0914956554181,< e0 observado
Adjuntas,2005-2009,2,81.69223386716965,81.54583213480893,80.06793758892883,83.17055306927942,Estimación adecuada
Adjuntas,2010-2014,1,77.67516626160003,76.48091313721733,75.3120610190428,77.71357612837373,Estimación adecuada
Adjuntas,2010-2014,2,83.20402591549134,82.56410589364779,80.94855071675921,84.31943879737334,Estimación adecuada
Adjuntas,2015-2019,1,77.04699323412711,77.38115991072101,76.06579532954092,78.76036381279867,Estimación adecuada
Adjuntas,2015-2019,2,84.68545562552767,84.53564828072012,82.47385831422903,86.30121637539638,Estimación adecuada
Adjuntas,2020-2024,1,80.12391567130251,78.82720609810187,77.33535503850325,80.28092384748209,Estimación adecuada
Adjuntas,2020-2024,2,86.5227372965987,85.18910204612861,83.10092092941791,87.45785894258893,Estimación adecuada
Aguada,1980-1984,1,73.120010273859,72.81358107388455,71.67995549669116,74.00693571934319,Estimación adecuada
Aguada,1980-1984,2,76.20354532694753,77.252723961064,76.16126717355681,78.64864126509379,Estimación adecuada
Aguada,1985-1989,1,72.90269999648287,72.58019704932076,71.54126054976776,73.62947108262765,Estimación adecuada
Aguada,1985-1989,2,77.68651169144245,78.04817478524141,76.95115658535066,79.2227413964974,Estimación adecuada
Aguada,1990-1994,1,72.77805794900048,72.41422397157311,71.42068105323183,73.48630155474875,Estimación adecuada
Aguada,1990-1994,2,79.35722543943459,79.03433501923763,77.7198274671075,80.31675142664444,Estimación adecuada
Aguada,1995-1999,1,72.94416313008566,72.52959789471474,71.54006183266043,73.4674370726904,Estimación adecuada
Aguada,1995-1999,2,78.45683322755809,78.57917060258907,77.6424530176136,79.66439498826507,Estimación adecuada
Aguada,2000-2004,1,75.7800112003685,75.0452409954442,74.00239689066014,76.13918837555528,Estimación adecuada
Aguada,2000-2004,2,80.19644183002846,80.29903674878693,79.27397243293393,81.39243451551506,Estimación adecuada
Aguada,2005-2009,1,77.48374625575009,76.43883310139279,75.33194091014954,77.47429787039769,< e0 observado
Aguada,2005-2009,2,80.9534828393864,80.89498215873095,79.76987659181808,82.21943646485214,Estimación adecuada
Aguada,2010-2014,1,76.59812093870771,76.28250385332858,75.25819824341343,77.32262462352618,Estimación adecuada
