period,region,sex,e0
1980-1984,Adjuntas,1,72.47977968668906
1980-1984,Adjuntas,2,79.1789832676423
1985-1989,Adjuntas,1,72.52026206354836
1985-1989,Adjuntas,2,79.21935481311455
1990-1994,Adjuntas,1,72.56852980609433
1990-1994,Adjuntas,2,79.26527536590342
1995-1999,Adjuntas,1,72.99100639352869
1995-1999,Adjuntas,2,79.6655512318622
2000-2004,Adjuntas,1,74.82725124486598
2000-2004,Adjuntas,2,81.41694237146775
2005-2009,Adjuntas,1,75.74566322322991
2005-2009,Adjuntas,2,82.28242664768578
2010-2014,Adjuntas,1,76.8552881025267
2010-2014,Adjuntas,2,83.35230241209176
2015-2019,Adjuntas,1,78.35413698802633
2015-2019,Adjuntas,2,84.78277347372115
2020-2024,Adjuntas,1,78.30605862888967
2020-2024,Adjuntas,2,84.73938329700307
1980-1984,Aguada,1,72.25604145086234
1980-1984,Aguada,2,78.97030844444568
1985-1989,Aguada,1,72.29828982923749
1985-1989,Aguada,2,79.01056608915114
1990-1994,Aguada,1,72.34831673991174
1990-1994,Aguada,2,79.056524386156525
1995-1999,Aguada,1,72.77109789276388
1995-1999,Aguada,2,79.45586433476372
2000-2004,Aguada,1,74.60834410775847
2000-2004,Aguada,2,81.20313719234218
2005-2009,Aguada,1,75.52893322622221
2005-2009,Aguada,2,82.07979241970493
2010-2014,Aguada,1,76.64129446895532
2010-2014,Aguada,2,83.14682364938211
2015-2019,Aguada,1,78.14123206559796
2015-2019,Aguada,2,84.58098822685761
2020-2024,Aguada,1,78.09130909279732
2020-2024,Aguada,2,84.53431084474103
1980-1984,Aguadilla,1,70.78363403076901
1980-1984,Aguadilla,2,77.56903616859479
1985-1989,Aguadilla,1,70.82717946238515
1985-1989,Aguadilla,2,77.60677556683886
1990-1994,Aguadilla,1,70.8779026088341
1990-1994,Aguadilla,2,77.65634368603992
1995-1999,Aguadilla,1,71.30174533086054
1995-1999,Aguadilla,2,78.06238554484804
2000-2004,Aguadilla,1,73.15936226382857
2000-2004,Aguadilla,2,79.82449026335026
2005-2009,Aguadilla,1,74.0889724894672
2005-2009,Aguadilla,2,80.71255333287657
2010-2014,Aguadilla,1,75.21777870320302
2010-2014,Aguadilla,2,81.78893283312333
2015-2019,Aguadilla,1,76.73368542338577
2015-2019,Aguadilla,2,83.23616505097202
2020-2024,Aguadilla,1,76.68174276793815
2020-2024,Aguadilla,2,83.18620845568282
1980-1984,Aguas Buenas,1,72.61553581674049
1980-1984,Aguas Buenas,2,79.30791701261873
1985-1989,Aguas Buenas,1,72.65807673257586
1985-1989,Aguas Buenas,2,79.3466338990005
1990-1994,Aguas Buenas,1,72.70605753609003
1990-1994,Aguas Buenas,2,79.39379494488972
1995-1999,Aguas Buenas,1,73.12779332552557
1995-1999,Aguas Buenas,2,79.79665273020517
2000-2004,Aguas Buenas,1,74.96261748527048
2000-2004,Aguas Buenas,2,81.54112104503167
2005-2009,Aguas Buenas,1,75.87723663235133
2005-2009,Aguas Buenas,2,82.4130272611387
2010-2014,Aguas Buenas,1,76.98713869751155
2010-2014,Aguas Buenas,2,83.47835591201171
2015-2019,Aguas Buenas,1,78.48413175877596
2015-2019,Aguas Buenas,2,84.90899464619487
2020-2024,Aguas Buenas,1,78.43714686242691
2020-2024,Aguas Buenas,2,84.85925402570065
1980-1984,Aibonito,1,72.23426776877851
1980-1984,Aibonito,2,78.94817217024342
1985-1989,Aibonito,1,72.27529012002434
1985-1989,Aibonito,2,78.98410787131999
1990-1994,Aibonito,1,72.32420502367168
1990-1994,Aibonito,2,79.03461549335724
1995-1999,Aibonito,1,72.74786588985167
1995-1999,Aibonito,2,79.43468229088003
2000-2004,Aibonito,1,74.58708888944975
2000-2004,Aibonito,2,81.18485917698055
2005-2009,Aibonito,1,75.50613973479804
2005-2009,Aibonito,2,82.05589958977811
2010-2014,Aibonito,1,76.61916149160109
2010-2014,Aibonito,2,83.12691100124884
2015-2019,Aibonito,1,78.11902444085736
2015-2019,Aibonito,2,84.5557698323564
2020-2024,Aibonito,1,78.0708741522418
2020-2024,Aibonito,2,84.51329351685568
1980-1984,Anasco,1,71.53766005974558
1980-1984,Anasco,2,78.2858324046713
1985-1989,Anasco,1,71.58004134039868
1985-1989,Anasco,2,78.32549932454083
1990-1994,Anasco,1,71.62956311927242
1990-1994,Anasco,2,78.37301852477815
1995-1999,Anasco,1,72.05445628829004
1995-1999,Anasco,2,78.77444038709919
2000-2004,Anasco,1,73.90269574241401
2000-2004,Anasco,2,80.53701421832946
2005-2009,Anasco,1,74.82592357690721
2005-2009,Anasco,2,81.41618618452836
2010-2014,Anasco,1,75.94991785995664
2010-2014,Anasco,2,82.48496342766008
2015-2019,Anasco,1,77.4564536799706
2015-2019,Anasco,2,83.92183933510522
2020-2024,Anasco,1,77.40533184656277
2020-2024,Anasco,2,83.87827923277035
1980-1984,Arecibo,1,70.78993811652553
1980-1984,Arecibo,2,77.57339570614712
1985-1989,Arecibo,1,70.83195251284833
1985-1989,Arecibo,2,77.61369726742922
1990-1994,Arecibo,1,70.88343205103219
1990-1994,Arecibo,2,77.66138653862411
1995-1999,Arecibo,1,71.30626064561918
1995-1999,Arecibo,2,78.06689944828067
2000-2004,Arecibo,1,73.1656519402421
2000-2004,Arecibo,2,79.83369214274306
2005-2009,Arecibo,1,74.09355579583116
2005-2009,Arecibo,2,80.71855968948131
2010-2014,Arecibo,1,75.22265563257496
2010-2014,Arecibo,2,81.7907067233281
2015-2019,Arecibo,1,76.73840787132607
2015-2019,Arecibo,2,83.23744143989201
2020-2024,Arecibo,1,76.68948037941972
2020-2024,Arecibo,2,83.18762162139222
1980-1984,Arroyo,1,70.7301761992522
1980-1984,Arroyo,2,77.51663431901075
1985-1989,Arroyo,1,70.77039453660063
1985-1989,Arroyo,2,77.55603782505048
1990-1994,Arroyo,1,70.82089982285366
1990-1994,Arroyo,2,77.60555301812477
1995-1999,Arroyo,1,71.24493506261052
1995-1999,Arroyo,2,78.00770936452943
2000-2004,Arroyo,1,73.10575009074411
2000-2004,Arroyo,2,79.7770118539367
2005-2009,Arroyo,1,74.03510507202719
2005-2009,Arroyo,2,80.65863575913691
2010-2014,Arroyo,1,75.16513647127928
2010-2014,Arroyo,2,81.7383842653188
2015-2019,Arroyo,1,76.68129576908636
2015-2019,Arroyo,2,83.17807973003
2020-2024,Arroyo,1,76.63141002086428
2020-2024,Arroyo,2,83.13275906322033
1980-1984,Barceloneta,1,71.35459843489501
1980-1984,Barceloneta,2,78.11430038823687
1985-1989,Barceloneta,1,71.39651776109996
1985-1989,Barceloneta,2,78.1500933736506
1990-1994,Barceloneta,1,71.44633651919716
1990-1994,Barceloneta,2,78.19900797577503
1995-1999,Barceloneta,1,71.87325187619176
1995-1999,Barceloneta,2,78.60465708759554
2000-2004,Barceloneta,1,73.72335175291677
2000-2004,Barceloneta,2,80.36433703977193
2005-2009,Barceloneta,1,74.64933294606509
2005-2009,Barceloneta,2,81.24639221235616
2010-2014,Barceloneta,1,75.77387156074442
2010-2014,Barceloneta,2,82.31833535810622
2015-2019,Barceloneta,1,77.27909276038372
2015-2019,Barceloneta,2,83.75632161352293
2020-2024,Barceloneta,1,77.23291224425436
2020-2024,Barceloneta,2,83.70951315351137
1980-1984,Barranquitas,1,72.02550468180961
1980-1984,Barranquitas,2,78.7498379847171
1985-1989,Barranquitas,1,72.06648365998255
1985-1989,Barranquitas,2,78.78891664010911
1990-1994,Barranquitas,1,72.11685622269195
1990-1994,Barranquitas,2,78.83476566888145
1995-1999,Barranquitas,1,72.53973887466242
1995-1999,Barranquitas,2,79.23814027752431
2000-2004,Barranquitas,1,74.378600933617
2000-2004,Barranquitas,2,80.99210615237307
2005-2009,Barranquitas,1,75.30378188311356
2005-2009,Barranquitas,2,81.8646564902138
2010-2014,Barranquitas,1,76.4209140165295
2010-2014,Barranquitas,2,82.93053409164945
2015-2019,Barranquitas,1,77.91800035980255
