period,sex,cobertura
1980-1984,1,69.23076923076923
1980-1984,2,50
1985-1989,1,48.717948717948715
1985-1989,2,46.15384615384615
1990-1994,1,30.76923076923077
1990-1994,2,48.717948717948715
1995-1999,1,34.61538461538461
1995-1999,2,50
2000-2004,1,48.717948717948715
2000-2004,2,56.41025641025641
2005-2009,1,38.46153846153847
2005-2009,2,46.15384615384615
2010-2014,1,43.58974358974359
2010-2014,2,34.61538461538461
2015-2019,1,42.30769230769231
2015-2019,2,38.46153846153847
2020-2024,1,33.33333333333333
2020-2024,2,33.33333333333333
