region,period,sex,Age,AgeInt,nMx,nAx,nqx,lx,ndx,nLx,Sx,Tx,ex
Adjuntas,1980-1984,1,0,1,0.015557162412790992,0.11824646026339622,0.015346643555649991,100000,1534.6643555649935,98646.80427217297,0.9841440253844161,7225588.268119439,72.25588268119438
Adjuntas,1980-1984,1,1,4,4.6320343068981625e-4,1.6067605629668267,0.0018507620480580338,98465.335644435,182.23590626001533,393425.2084200351,0.9981242901900481,7126941.463847266,72.38020788943567
Adjuntas,1980-1984,1,5,5,2.1701787821882938e-4,2.5,0.0010845010008288317,98283.09973817499,106.58812003060302,491149.0283907985,0.9987786592999516,6733516.25542723,68.51143557097036
Adjuntas,1980-1984,1,10,5,2.7185042378744445e-4,2.5,0.0013583289631765166,98176.51161814439,133.35599923455447,490549.1680926356,0.9968242324622133,6242367.227036431,63.58310276205368
Adjuntas,1980-1984,1,15,5,0.0010016375593729498,2.5,0.004995678149691573,98043.15561890983,489.7920502522029,488991.2979689187,0.9927418705573724,5751818.058943796,58.66618656483174
Adjuntas,1980-1984,1,20,5,0.001915517290119355,2.5,0.00953193996108717,97553.36356865763,929.8728045385506,485442.1358319418,0.9893816980693374,5262826.7609748775,53.94818352184159
Adjuntas,1980-1984,1,25,5,0.0023568290041102243,2.5,0.011715118691752829,96623.49076411908,1131.9556627131387,480287.5646638125,0.9871234281426455,4777384.625142936,49.44330397672827
Adjuntas,1980-1984,1,30,5,0.002830243573580661,2.5,0.01405179287668698,95491.53510140594,1341.8272727218427,474103.10732522514,0.9844537990627283,4297097.060479123,44.99976941323521
Adjuntas,1980-1984,1,35,5,0.003441742826889213,2.5,0.017061907391005958,94149.7078286841,1606.3735958632751,466732.6051537623,0.9811537301574799,3822993.953153898,40.60547867137583
Adjuntas,1980-1984,1,40,5,0.004175456897525396,2.5,0.020661605380873194,92543.33423282082,1912.0938525488018,457936.4365327321,0.9761690097998297,3356261.3480001357,36.26691620550911
Adjuntas,1980-1984,1,45,5,0.005487716910457115,2.5,0.027067241159706715,90631.24038027202,2453.1376399761793,447023.3578014196,0.9677157028249496,2898324.9114674036,31.979314189087177
Adjuntas,1980-1984,1,50,5,0.007673743370997449,2.5,0.037646493038989134,88178.10274029584,3319.596331003806,432591.5228739697,0.9545854122821016,2451301.553665984,27.799436339491372
Adjuntas,1980-1984,1,55,5,0.010991255031939703,2.5,0.05348656399555524,84858.50640929204,4538.78993362785,412945.55721239053,0.9344850238494844,2018710.0307920142,23.789129884696685
Adjuntas,1980-1984,1,60,5,0.016281411729415957,2.5,0.07822310230848799,80319.71647566419,6282.857399264627,385891.4388801594,0.9061903954848266,1605764.4735796237,19.99215814047537
Adjuntas,1980-1984,1,65,5,0.023441464600039513,2.5,0.11071879614898406,74036.85907639956,8197.27190759094,349691.11561302043,0.8629937431638661,1219873.0346994644,16.47656383478751
Adjuntas,1980-1984,1,70,5,0.036339820981134405,2.5,0.16656660352210023,65839.58716880862,10966.676412005705,301781.2448140288,0.7976120023365185,870181.919086444,13.216697681523298
Adjuntas,1980-1984,1,75,5,0.05593619197499824,2.5,0.24536850971491014,54872.910756802914,13464.084336115986,240704.3429437246,0.7036433988881694,568400.6742724152,10.358493224308267
Adjuntas,1980-1984,1,80,5,0.08897468315436319,2.5,0.36392347587564156,41408.82642068693,15069.64404294749,169370.02199606592,0.4831494716180329,327696.33132869063,7.913683136042243
Adjuntas,1980-1984,1,85,NA,0.20274320519800254,6.011056344195187,1,26339.18237773944,26339.18237773944,158326.30933262472,0,158326.30933262472,6.011056344195187
Adjuntas,1980-1984,2,0,1,0.009546876784325052,0.12940859055148024,0.009468182657210705,100000,946.8182657210709,99175.7081515543,0.9902160831600818,7897217.514767429,78.97217514767429
Adjuntas,1980-1984,2,1,4,2.84251457665825e-4,1.5085952668167182,0.0011362011895386798,99053.18173427893,112.54434291407233,395932.3334284866,0.998849732952298,7798041.806615874,78.72580839992581
Adjuntas,1980-1984,2,5,5,1.3317614735682028e-4,2.5,6.656591119941305e-4,98940.63739136486,65.86073682608549,494538.53511475906,0.999250309977872,7402109.473187388,74.81364248653419
Adjuntas,1980-1984,2,10,5,1.6682492847866354e-4,2.5,8.337769054617655e-4,98874.77665453877,82.43950530723669,494167.78450942575,0.9980492620446023,6907570.938072629,69.8618107852438
Adjuntas,1980-1984,2,15,5,6.146693124382396e-4,2.5,0.0030686310788028627,98792.33714923153,303.1572361236904,493203.79265584843,0.9955377282245518,6413403.153563203,64.91802237531223
Adjuntas,1980-1984,2,20,5,0.0011754847300745551,2.5,0.005860202204855384,98489.17991310784,577.1665092812036,491002.9832923362,0.99346914724899,5920199.360907355,60.110149826919624
Adjuntas,1980-1984,2,25,5,0.0014463019554338701,2.5,0.007205456612199306,97912.01340382664,705.5007643943391,487796.3151081474,0.9920765999905854,5429196.377615019,55.449747062425665
Adjuntas,1980-1984,2,30,5,0.0017368195644855827,2.5,0.008646554061778217,97206.5126394323,840.5013666937739,483931.3097804271,0.9904283043468237,4941400.062506871,50.83404319663216
Adjuntas,1980-1984,2,35,5,0.002112074834295541,2.5,0.010504906300890843,96366.01127273853,1012.3159190107108,479299.26656616584,0.9883883725113638,4457468.752726444,46.25561122490332
Adjuntas,1980-1984,2,40,5,0.002562328970669741,2.5,0.012730098105411298,95353.69535372782,1213.86189656645,473733.82202722295,0.9852989063245682,3978169.4861602783,41.720139648523364
Adjuntas,1980-1984,2,45,5,0.0033676161398376973,2.5,0.016697503741451705,94139.83345716137,1571.9002213705826,466769.4167323804,0.9800431503241941,3504435.664133055,37.22585366297424
Adjuntas,1980-1984,2,50,5,0.004709102582838306,2.5,0.02327154270949178,92567.93323579078,2154.1986118260975,457454.1696493887,0.9718397390087198,3037666.2474006745,32.81553493976228
Adjuntas,1980-1984,2,55,5,0.006744941115867356,2.5,0.033165457927335155,90413.73462396469,2998.6129117243545,444572.1408405125,0.9591789831590071,2580212.077751286,28.537833200702515
Adjuntas,1980-1984,2,60,5,0.009991321524755657,2.5,0.04873918544225757,87415.12171224033,4260.541827590394,426424.2539922257,0.941174268442551,2135639.936910773,24.431012564863014
Adjuntas,1980-1984,2,65,5,0.014385190450040794,2.5,0.0694290760459747,83154.57988464994,5773.345650382442,401339.53529729357,0.9131290494097957,1709215.6829185477,20.55467883175564
Adjuntas,1980-1984,2,70,5,0.02230045117850841,2.5,0.10561414801369416,77381.2342342675,8172.55312590026,366474.7883565868,0.8696221521729113,1307876.147621254,16.901722498528905
Adjuntas,1980-1984,2,75,5,0.0343260436475079,2.5,0.15806578559846332,69208.68110836724,10939.524549627597,318694.5941677672,0.8040469650686679,941401.359264667,13.602359475549273
Adjuntas,1980-1984,2,80,5,0.05479178734448983,2.5,0.24095328398261884,58269.15655873964,14040.14462772567,256245.42122438402,0.5884974508274219,622706.7650968998,10.686730371138376
Adjuntas,1980-1984,2,85,NA,0.12441624438465136,8.285542178606713,1,44229.01193101397,44229.01193101397,366461.3438725158,0,366461.3438725158,8.285542178606713
Adjuntas,1985-1989,1,0,1,0.01571668765826867,0.11792813561230779,0.015501782601853826,100000,1550.178260185392,98632.63137190501,0.9839826011406007,7211453.198589839,72.1145319858984
Adjuntas,1985-1989,1,1,4,4.679530764029465e-4,1.6062931290206144,0.0018697179550779815,98449.82173981461,184.07339938114455,393358.6691983953,0.9981062419807207,7112820.567217934,72.24818127163151
Adjuntas,1985-1989,1,5,5,2.1924312996666226e-4,2.5,0.001095615134604937,98265.74834043346,107.6614410950715,491059.5880994297,0.9987661445103793,6719461.898019538,68.38050909397774
Adjuntas,1985-1989,1,10,5,2.746379293984337e-4,2.5,0.001372247468983409,98158.08689933839,134.69718630787975,490453.6915309223,0.9967917505998211,6228402.309920109,63.452767944707055
Adjuntas,1985-1989,1,15,5,0.0010119082848209279,2.5,0.0050467742424357845,98023.38971303051,494.7019183599623,488880.1937692527,0.9926678048115639,5737948.618389186,58.536525161875986
Adjuntas,1985-1989,1,20,5,0.0019351587522455835,2.5,0.009629208642772268,97528.68779467055,939.1240834306809,485295.62876477605,0.9892734640046823,5249068.424619934,53.82076333961266
Adjuntas,1985-1989,1,25,5,0.0023809954795980487,2.5,0.011834532477162044,96589.56371123987,1143.0923286955804,480090.08773446037,0.986992331137123,4763772.795855157,49.319746490384134
Adjuntas,1985-1989,1,30,5,0.0028592644304555256,2.5,0.014194855041985078,95446.47138254429,1354.8488255441916,473845.23484886094,0.984295765072622,4283682.708120697,44.88047222774668
Adjuntas,1985-1989,1,35,5,0.00347703369448429,2.5,0.017235348751558063,94091.6225570001,1621.7019293698686,466403.8579615758,0.9809625019377936,3809837.473271836,40.49071925573248
Adjuntas,1985-1989,1,40,5,0.004218270853599561,2.5,0.020871252774852137,92469.92062763023,1929.9630874897848,457524.69541942666,0.9759279937786473,3343433.61531026,36.1569858892172
Adjuntas,1985-1989,1,45,5,0.0055439865127679755,2.5,0.02734098740035654,90539.95754014044,2475.4518383338,446511.1581048677,0.967390961179678,2885908.9198908336,31.874423164064112
Adjuntas,1985-1989,1,50,5,0.007752428249087116,2.5,0.038025172688125976,88064.50570180664,3348.668037005642,431950.8584165191,0.9541323181767264,2439397.761785966,27.70012438434571
Adjuntas,1985-1989,1,55,5,0.011103957258745729,2.5,0.05402019154856728,84715.837664801,4576.365777849889,412138.2738793803,0.9338397773082655,2007446.9033694468,23.69624097104963
Adjuntas,1985-1989,1,60,5,0.016448358906088353,2.5,0.07899351050053031,80139.47188695111,6330.498214008825,384871.11389973346,0.9052822513031291,1595308.6294900663,19.9066526385461
Adjuntas,1985-1989,1,65,5,0.023681830215714038,2.5,0.11179063404091052,73808.97367294229,8251.151964807083,348416.98845269374,0.8617070030257862,1210437.515590333,16.399598251480207
Adjuntas,1985-1989,1,70,5,0.03671244223719608,2.5,0.1681309653057976,65557.8217081352,11022.299847134149,300233.3589228407,0.7957936538678727,862020.5271376391,13.14901112754131
Adjuntas,1985-1989,1,75,5,0.05650974470213767,2.5,0.2475730052115711,54535.521861001056,13501.523037909363,238923.80171023187,0.7013202926954395,561787.1682147984,10.301307277239765
Adjuntas,1985-1989,1,80,5,0.08977658122182544,2.5,0.36660218011185225,41033.99882309169,15043.153427252593,167562.11054732697,0.48101231687752655,322863.3665045665,7.868191640218029
Adjuntas,1985-1989,1,85,NA,0.2048220857908443,5.975229108249856,1,25990.8453958391,25990.8453958391,155301.25595723954,0,155301.25595723954,5.975229108249856
Adjuntas,1985-1989,2,0,1,0.009644771555528713,0.1292073903650685,0.00956444365925761,100000,956.4443659257522,99167.13531462489,0.9901162020193534,7883600.247054058,78.83600247054058
Adjuntas,1985-1989,2,1,4,2.8716614049041937e-4,1.5084386501663878,0.0011478432892059983,99043.55563407425,113.68648067368485,395890.9656950518,0.998838365211351,7784433.111739433,78.5960586925994
Adjuntas,1985-1989,2,5,5,1.345417024965861e-4,2.5,6.724823201922865e-4,98929.86915340056,66.52858794458734,494483.02429714135,0.9992426260594848,7388542.146044382,74.68464488301017
Adjuntas,1985-1989,2,10,5,1.6853551811900805e-4,2.5,8.423226873686925e-4,98863.34056545598,83.27483470735024,494108.51574051153,0.9980292903972504,6894059.12174724,69.7332204466911
Adjuntas,1985-1989,2,15,5,6.209720786191515e-4,2.5,0.0031000477853031115,98780.06573074863,306.22292400071456,493134.77134374133,0.9954921081053834,6399950.6060067285,64.78990025630777
Adjuntas,1985-1989,2,20,5,0.001187537972026141,2.5,0.005920113959815697,98473.84280674791,582.9763714769215,490911.77310504724,0.9934024248136838,5906815.834662987,59.98360240957534
Adjuntas,1985-1989,2,25,5,0.0014611320309315236,2.5,0.007279070945373348,97890.86643527099,712.554561686411,487672.9457721389,0.991995709827221,5415904.061557939,55.32593855565813
Adjuntas,1985-1989,2,30,5,0.0017546285945966805,2.5,0.008734827029795068,97178.31187358458,848.8357452632481,483769.47000476473,0.9903306790047188,4928231.1157858,50.713281809183314
Adjuntas,1985-1989,2,35,5,0.0021337315386810956,2.5,0.010612049531467136,96329.47612832133,1022.2531720140105,479091.74771157163,0.9882700756345878,4444461.6457810355,46.13812743941978
Adjuntas,1985-1989,2,40,5,0.0025886023168728593,2.5,0.012859789382886701,95307.22295630732,1225.6308138859458,473472.03774682176,0.9851494368941897,3965369.8980694637,41.606184453484175
Adjuntas,1985-1989,2,45,5,0.003402146720012016,2.5,0.016867271270984745,94081.59214242137,1586.8997362723749,466440.71137142595,0.9798409231283078,3491897.8603226417,37.11563315208976
Adjuntas,1985-1989,2,50,5,0.004757388590978889,2.5,0.023507358852867744,92494.692406149,2174.3059263769537,457037.6972148026,0.9715558265034746,3025457.1489512157,32.70952170602694
Adjuntas,1985-1989,2,55,5,0.006814102316134461,2.5,0.03349983335061101,90320.38647977205,3025.7178952351533,444037.6376607723,0.9587707144856759,2568419.451736413,28.436763302730448
Adjuntas,1985-1989,2,60,5,0.010093770849881072,2.5,0.04922664798815487,87294.66858453689,4297.22392165364,425730.2831185503,0.9405922254837743,2124381.814075641,24.3357566793254
Adjuntas,1985-1989,2,65,5,0.014532693962656051,2.5,0.07011603270050037,82997.44466288325,5819.451544040683,400438.59445431456,0.9122857863884223,1698651.5309570904,20.466311196165456
