period,region,sex,e0
1980-1984,Adjuntas,1,72.24752135608698
1980-1984,Adjuntas,2,78.78872403230487
1985-1989,Adjuntas,1,71.54868369379037
1985-1989,Adjuntas,2,78.9334530803734
1990-1994,Adjuntas,1,71.45296550364665
1990-1994,Adjuntas,2,78.46461457395912
1995-1999,Adjuntas,1,72.05963230272343
1995-1999,Adjuntas,2,78.82310256522672
2000-2004,Adjuntas,1,73.82842284598307
2000-2004,Adjuntas,2,79.90613152549884
2005-2009,Adjuntas,1,75.9778642868424
2005-2009,Adjuntas,2,82.14230393033262
2010-2014,Adjuntas,1,76.9087809437034
2010-2014,Adjuntas,2,83.54680065609944
2015-2019,Adjuntas,1,79.45322898228336
2015-2019,Adjuntas,2,84.87369871883385
2020-2024,Adjuntas,1,79.09951128169686
2020-2024,Adjuntas,2,86.1805996619633
1980-1984,Aguada,1,72.95006432264272
1980-1984,Aguada,2,77.58292797258024
1985-1989,Aguada,1,72.905293113713
1985-1989,Aguada,2,77.96576458647078
1990-1994,Aguada,1,72.96048233625852
1990-1994,Aguada,2,79.31413917749848
1995-1999,Aguada,1,72.64138765245704
1995-1999,Aguada,2,78.4670041078034
2000-2004,Aguada,1,75.13739452692079
2000-2004,Aguada,2,80.31758543569414
2005-2009,Aguada,1,76.67226213842777
2005-2009,Aguada,2,81.36281316493533
2010-2014,Aguada,1,76.91709219008055
2010-2014,Aguada,2,83.43299324084784
2015-2019,Aguada,1,79.16932894511116
2015-2019,Aguada,2,84.71201594507454
2020-2024,Aguada,1,78.1411326612797
2020-2024,Aguada,2,84.01802387864265
1980-1984,Aguadilla,1,71.08104509222656
1980-1984,Aguadilla,2,77.27989754545989
1985-1989,Aguadilla,1,70.6895680961447
1985-1989,Aguadilla,2,77.50114108233169
1990-1994,Aguadilla,1,70.79171245781609
1990-1994,Aguadilla,2,77.81876794621763
1995-1999,Aguadilla,1,70.73955661800392
1995-1999,Aguadilla,2,77.99316858126738
2000-2004,Aguadilla,1,73.29293016272919
2000-2004,Aguadilla,2,79.94283468313137
2005-2009,Aguadilla,1,74.07757963319945
2005-2009,Aguadilla,2,80.76711973792072
2010-2014,Aguadilla,1,75.59752304984421
2010-2014,Aguadilla,2,81.58307740262231
2015-2019,Aguadilla,1,76.92374888765458
2015-2019,Aguadilla,2,83.42906030573744
2020-2024,Aguadilla,1,76.5012648405873
2020-2024,Aguadilla,2,83.29574022967155
1980-1984,Aguas Buenas,1,71.47940552877463
1980-1984,Aguas Buenas,2,78.76216328635381
1985-1989,Aguas Buenas,1,71.95489051217291
1985-1989,Aguas Buenas,2,78.78046964948167
1990-1994,Aguas Buenas,1,71.78509056714411
1990-1994,Aguas Buenas,2,80.72205240963002
1995-1999,Aguas Buenas,1,72.14736547095771
1995-1999,Aguas Buenas,2,79.13455024013996
2000-2004,Aguas Buenas,1,74.43519828790915
2000-2004,Aguas Buenas,2,81.35556155097419
2005-2009,Aguas Buenas,1,75.14915687288035
2005-2009,Aguas Buenas,2,83.43022115208728
2010-2014,Aguas Buenas,1,77.49690000427354
2010-2014,Aguas Buenas,2,83.83669295194737
2015-2019,Aguas Buenas,1,77.95738499878098
2015-2019,Aguas Buenas,2,85.93790680891387
2020-2024,Aguas Buenas,1,78.14261266839515
2020-2024,Aguas Buenas,2,85.42945600186607
1980-1984,Aibonito,1,71.61649795652595
1980-1984,Aibonito,2,78.21383729695731
1985-1989,Aibonito,1,71.24101877183088
1985-1989,Aibonito,2,79.1448198018936
1990-1994,Aibonito,1,72.33487004174592
1990-1994,Aibonito,2,78.95412367719119
1995-1999,Aibonito,1,72.22578504677574
1995-1999,Aibonito,2,79.50610004528154
2000-2004,Aibonito,1,74.0746523347178
2000-2004,Aibonito,2,80.64253124942906
2005-2009,Aibonito,1,74.95430749280462
2005-2009,Aibonito,2,81.232516880518
2010-2014,Aibonito,1,75.5051802724884
2010-2014,Aibonito,2,82.87899698586831
2015-2019,Aibonito,1,77.70185674086399
2015-2019,Aibonito,2,84.34852151122185
2020-2024,Aibonito,1,79.13763877764164
2020-2024,Aibonito,2,85.56243365206029
1980-1984,Anasco,1,71.60498399150849
1980-1984,Anasco,2,76.73707301237422
1985-1989,Anasco,1,71.34419913165354
1985-1989,Anasco,2,77.0523895653943
1990-1994,Anasco,1,70.63176707841717
1990-1994,Anasco,2,77.50576607129624
1995-1999,Anasco,1,71.29408354765054
1995-1999,Anasco,2,77.90262542134887
2000-2004,Anasco,1,73.90129930211083
2000-2004,Anasco,2,80.26355229693148
2005-2009,Anasco,1,75.81727665536819
2005-2009,Anasco,2,81.58961988216646
2010-2014,Anasco,1,75.9687969431163
2010-2014,Anasco,2,82.77097723545305
2015-2019,Anasco,1,77.64654694592176
2015-2019,Anasco,2,84.85384783812398
2020-2024,Anasco,1,77.38226405835702
2020-2024,Anasco,2,84.21959653801852
1980-1984,Arecibo,1,70.96746435839671
1980-1984,Arecibo,2,77.29040890296713
1985-1989,Arecibo,1,70.38743016973278
1985-1989,Arecibo,2,77.11561937137854
1990-1994,Arecibo,1,70.68377403852725
1990-1994,Arecibo,2,77.82521305356707
1995-1999,Arecibo,1,70.44380581320496
1995-1999,Arecibo,2,77.68749433201009
2000-2004,Arecibo,1,73.25147699237073
2000-2004,Arecibo,2,79.8610869844619
2005-2009,Arecibo,1,73.76255597319951
2005-2009,Arecibo,2,80.65409750478445
2010-2014,Arecibo,1,75.594106892149
2010-2014,Arecibo,2,81.67487454342474
2015-2019,Arecibo,1,77.31834151577405
2015-2019,Arecibo,2,84.26688565026495
2020-2024,Arecibo,1,76.8283911614993
2020-2024,Arecibo,2,83.68279097488369
1980-1984,Arroyo,1,69.81791216192426
1980-1984,Arroyo,2,77.4084710410808
1985-1989,Arroyo,1,69.54192924050004
1985-1989,Arroyo,2,76.62550061979267
1990-1994,Arroyo,1,69.74772631555543
1990-1994,Arroyo,2,78.33151754535335
1995-1999,Arroyo,1,69.94767149056997
1995-1999,Arroyo,2,77.538232742518
2000-2004,Arroyo,1,72.47333509762045
2000-2004,Arroyo,2,79.46679981765953
2005-2009,Arroyo,1,73.56620672250585
2005-2009,Arroyo,2,80.99872617444758
2010-2014,Arroyo,1,74.22813203515663
2010-2014,Arroyo,2,82.11155531213683
2015-2019,Arroyo,1,76.23478980774546
2015-2019,Arroyo,2,83.42468873727657
2020-2024,Arroyo,1,76.75537604978797
2020-2024,Arroyo,2,83.0863366227465
1980-1984,Barceloneta,1,70.5533583199918
1980-1984,Barceloneta,2,77.3459220689648
1985-1989,Barceloneta,1,71.85343419247313
1985-1989,Barceloneta,2,78.55579689732116
1990-1994,Barceloneta,1,71.17082379495723
1990-1994,Barceloneta,2,79.59168062600331
1995-1999,Barceloneta,1,70.47197733622002
1995-1999,Barceloneta,2,78.49591683733684
2000-2004,Barceloneta,1,73.591253377896
