period,sex,cobertura
1980-1984,1,58.97435897435898
1980-1984,2,52.56410256410257
1985-1989,1,47.43589743589743
1985-1989,2,56.41025641025641
1990-1994,1,39.743589743589745
1990-1994,2,43.58974358974359
1995-1999,1,34.61538461538461
1995-1999,2,52.56410256410257
2000-2004,1,56.41025641025641
2000-2004,2,56.41025641025641
2005-2009,1,50
2005-2009,2,44.871794871794876
2010-2014,1,47.43589743589743
2010-2014,2,34.61538461538461
2015-2019,1,50
2015-2019,2,34.61538461538461
2020-2024,1,37.17948717948718
2020-2024,2,34.61538461538461
