region,period,sex,e0_observado,e0_estimado,e0_lower,e0_upper,est_eval
Adjuntas,1980-1984,1,72.54189508802463,72.82195818737107,72.1346096184844,73.51468471746216,Estimación adecuada
Adjuntas,1980-1984,2,78.96516925394144,78.75132176903664,78.0999175583461,79.45657614445327,Estimación adecuada
Adjuntas,1985-1989,1,70.84999061728885,72.45341473339529,71.68507880347194,73.17665586823836,> e0 observado
Adjuntas,1985-1989,2,78.97855761762072,79.0220738298252,78.29800341087444,79.70730555680352,Estimación adecuada
Adjuntas,1990-1994,1,71.49310954038985,72.38675258931902,71.577484116995,73.12887281273294,> e0 observado
Adjuntas,1990-1994,2,77.88047658335911,79.56065302542848,78.80273064592855,80.27717632809109,> e0 observado
Adjuntas,1995-1999,1,71.91080703113897,72.78684942605646,72.05472335103477,73.53412211246464,> e0 observado
Adjuntas,1995-1999,2,78.53770419818306,79.65145442292847,78.96719974370222,80.3841768680921,> e0 observado
Adjuntas,2000-2004,1,74.0807006063416,74.4323374379862,73.75881837100306,75.17375477367926,Estimación adecuada
Adjuntas,2000-2004,2,79.50851081175084,80.7887355749094,80.13252750961689,81.51605827087064,> e0 observado
Adjuntas,2005-2009,1,77.13413877724005,76.05108932792928,75.25678005665903,76.69366010882273,< e0 observado
Adjuntas,2005-2009,2,82.23262377887984,82.26860716955949,81.51349744941632,82.92654892613999,Estimación adecuada
Adjuntas,2010-2014,1,78.0170892039493,77.50620387023274,76.78042602667841,78.12629779437117,Estimación adecuada
Adjuntas,2010-2014,2,84.37542750420445,83.29731454293685,82.56557399665542,83.94675902615339,< e0 observado
Adjuntas,2015-2019,1,80.07122326396828,78.70733356997982,78.04004200170034,79.39094961418685,< e0 observado
Adjuntas,2015-2019,2,84.75780508868199,84.50343994435678,83.79594401577631,85.18229700309101,Estimación adecuada
Adjuntas,2020-2024,1,80.09050176489524,79.87673312034545,79.14570827300727,80.57598925796687,Estimación adecuada
Adjuntas,2020-2024,2,87.03883394524668,85.4405187183672,84.72044405104324,86.17825777214145,< e0 observado
Aguada,1980-1984,1,73.2175687853255,72.81634102704447,72.12410493543138,73.43135624803833,Estimación adecuada
Aguada,1980-1984,2,76.66307974738103,78.58522335405394,77.84208302427929,79.15850057725802,> e0 observado
Aguada,1985-1989,1,73.21396709192831,73.06061099366562,72.44111818276036,73.72272427278088,Estimación adecuada
Aguada,1985-1989,2,77.70261010174512,79.3958185328801,78.73627398211134,80.0195077181011,> e0 observado
Aguada,1990-1994,1,73.47166304966473,73.15827869427024,72.61367141898361,73.74258379969936,Estimación adecuada
Aguada,1990-1994,2,79.56472305278581,80.0507983295623,79.45735436015143,80.68981440462244,Estimación adecuada
Aguada,1995-1999,1,72.96139718811193,73.30773677944035,72.70085941975367,73.88294369190072,Estimación adecuada
Aguada,1995-1999,2,78.42598214583917,79.96242899724973,79.38506116597378,80.50586124669881,> e0 observado
Aguada,2000-2004,1,75.7731265619719,75.02407386359587,74.5141010690842,75.6061687519744,< e0 observado
Aguada,2000-2004,2,80.35987918975404,81.18840456689472,80.64993249482197,81.76124515158676,> e0 observado
Aguada,2005-2009,1,77.6139364553716,76.15021237609852,75.59860754995637,76.671427201095,< e0 observado
Aguada,2005-2009,2,81.487501570255,82.18980646587485,81.63395984442421,82.69968529837809,> e0 observado
Aguada,2010-2014,1,77.3081065450094,77.53669026368698,76.96206194271542,78.06896743479913,Estimación adecuada
Aguada,2010-2014,2,83.93649978812951,83.14300718477497,82.53159750935686,83.70731659964943,< e0 observado
Aguada,2015-2019,1,80.17632385200217,79.35598172092563,78.79628380053336,79.9011374468925,< e0 observado
Aguada,2015-2019,2,84.88514363026218,84.9555740764853,84.37959235223472,85.5346811016604,Estimación adecuada
Aguada,2020-2024,1,78.78968559483442,78.85131613432469,78.35009426529655,79.34754317377951,Estimación adecuada
Aguada,2020-2024,2,83.87729580688905,84.28244520367285,83.781939823463,84.82552913588535,Estimación adecuada
Aguadilla,1980-1984,1,71.00678071372081,71.28182309851803,70.7955482876604,71.82427708734654,Estimación adecuada
Aguadilla,1980-1984,2,77.48535658677463,77.46172543283814,76.99895465680896,77.98954534398072,Estimación adecuada
Aguadilla,1985-1989,1,70.58561267446154,71.32379318917557,70.80495837547159,71.77384473459364,> e0 observado
Aguadilla,1985-1989,2,77.65780206154783,78.1165010549525,77.61142948383704,78.60185933419496,Estimación adecuada
Aguadilla,1990-1994,1,70.88482346377512,71.43902679570942,70.89596665303506,71.89470222714377,> e0 observado
Aguadilla,1990-1994,2,77.99785568547416,78.84774498383739,78.36287189063907,79.33007491224453,> e0 observado
Aguadilla,1995-1999,1,70.78010378855268,71.4345048930803,70.93822842629254,71.99093968933497,> e0 observado
