region,period,sex,e0_observado,e0_estimado,e0_lower,e0_upper,est_eval
Adjuntas,1980-1984,2,78.96516925394144,78.6009116562739,77.69758717536746,79.7359039037583,Estimación adecuada
Adjuntas,1985-1989,2,78.97855761762072,78.89712272035725,77.96859770170926,79.8524338025895,Estimación adecuada
Adjuntas,1990-1994,2,77.88047658335911,78.8396229981413,77.87332758285868,79.93377759930843,Estimación adecuada
Adjuntas,1995-1999,2,78.53770419818306,79.15059135832806,78.30889117048923,80.18442761263381,Estimación adecuada
Adjuntas,2000-2004,2,79.50851081175084,80.42778113471215,79.42647084636529,81.445544998761,Estimación adecuada
Adjuntas,2005-2009,2,82.23262377887984,81.9752845615802,81.03407602741962,83.0929023810207,Estimación adecuada
Adjuntas,2010-2014,2,84.37542750420445,83.25663789722492,82.3330226432648,84.49629501646737,Estimación adecuada
Adjuntas,2015-2019,2,84.75780508868199,84.65150616072452,83.61578022987399,85.7493593107668,Estimación adecuada
Adjuntas,2020-2024,2,87.03883394524668,85.5227904678996,84.3864033482271,86.82762585717312,< e0 observado
Aguada,1980-1984,2,76.66307974738103,77.52706630486705,76.74701294990834,78.46267573755,> e0 observado
Aguada,1985-1989,2,77.70261010174512,77.9490815861671,77.18637399022457,78.75491430338502,Estimación adecuada
Aguada,1990-1994,2,79.56472305278581,78.8691082007067,78.02433449724916,79.65941654752336,Estimación adecuada
Aguada,1995-1999,2,78.42598214583917,78.51853472843408,77.77184391528496,79.31412671404321,Estimación adecuada
Aguada,2000-2004,2,80.35987918975404,80.1878400569818,79.38046278633843,81.05526621102663,Estimación adecuada
Aguada,2005-2009,2,81.487501570255,81.20039916036316,80.3935760460214,82.07551089546237,Estimación adecuada
Aguada,2010-2014,2,83.93649978812951,82.96333138230973,82.1393982854894,83.89972163251981,< e0 observado
Aguada,2015-2019,2,84.88514363026218,84.3703632534806,83.45308180186268,85.3951420526569,Estimación adecuada
Aguada,2020-2024,2,83.87729580688905,84.05502012954847,83.16695625047139,84.83525322499075,Estimación adecuada
Aguadilla,1980-1984,2,77.48535658677463,77.23313698119973,76.53257824193594,78.07055688041838,Estimación adecuada
Aguadilla,1985-1989,2,77.65780206154783,77.55234487751365,76.89869828730636,78.2912554448528,Estimación adecuada
Aguadilla,1990-1994,2,77.99785568547416,77.96046978960143,77.31844603822108,78.67633854683046,Estimación adecuada
Aguadilla,1995-1999,2,78.16686736979354,78.13406298724128,77.42453423276498,78.75799560575433,Estimación adecuada
Aguadilla,2000-2004,2,80.45198774138778,79.87359723264325,79.2650098981899,80.57901182466168,Estimación adecuada
Aguadilla,2005-2009,2,81.18616231865005,80.77598845584177,80.12284280773527,81.45549508636341,Estimación adecuada
Aguadilla,2010-2014,2,81.66758711742574,81.76508194916747,81.07119370260405,82.45646648558701,Estimación adecuada
Aguadilla,2015-2019,2,82.99395073109925,83.44912442169637,82.6644486159968,84.29328516225439,Estimación adecuada
Aguadilla,2020-2024,2,83.20736033493193,83.43468458877531,82.73144001424663,84.15917149101739,Estimación adecuada
Aguas Buenas,1980-1984,2,79.20230439846388,79.21597018121732,78.27764459565623,80.29261288363465,Estimación adecuada
Aguas Buenas,1985-1989,2,78.66666240443578,79.37014029332664,78.41671133302344,80.48546672827524,Estimación adecuada
Aguas Buenas,1990-1994,2,82.01930667891538,80.51111435559994,79.56519187558047,81.58097807268527,< e0 observado
Aguas Buenas,1995-1999,2,79.29741471606215,79.82667295193068,78.99080691885752,80.72026158471502,Estimación adecuada
Aguas Buenas,2000-2004,2,81.53307661620572,81.72127957365254,80.70683465724778,82.77388514836294,Estimación adecuada
Aguas Buenas,2005-2009,2,83.74825554704383,83.26294233137898,82.19387979188791,84.29815719774533,Estimación adecuada
Aguas Buenas,2010-2014,2,83.69043751017024,83.9848689292996,83.07478330195293,85.09234863097839,Estimación adecuada
Aguas Buenas,2015-2019,2,86.87058779798109,85.77869609843566,84.73942038944803,87.10955472406849,Estimación adecuada
Aguas Buenas,2020-2024,2,86.01372227536957,85.48513045334573,84.50706277693874,86.57639668052303,Estimación adecuada
Aibonito,1980-1984,2,78.10148160174786,78.56172556591088,77.6497064623623,79.45723154055709,Estimación adecuada
Aibonito,1985-1989,2,79.48839408130232,79.2748823122803,78.39152226623804,80.35687136824907,Estimación adecuada
Aibonito,1990-1994,2,79.2040372973333,79.26819284078718,78.34721464425043,80.22272706885175,Estimación adecuada
Aibonito,1995-1999,2,79.65397963842348,79.74009772557608,78.93046380505214,80.58447285706066,Estimación adecuada
Aibonito,2000-2004,2,80.67825254541816,80.92043537631844,80.16270347156681,81.88126509879805,Estimación adecuada
Aibonito,2005-2009,2,81.30587533973025,81.66161394765133,80.755769120548507,82.59384982550338,Estimación adecuada
Aibonito,2010-2014,2,82.83346667872438,83.16993469027045,82.15728990823811,84.10374628022294,Estimación adecuada
Aibonito,2015-2019,2,83.92589167839914,84.66968503394261,83.59266663697628,85.7624820910504,Estimación adecuada
Aibonito,2020-2024,2,85.54801976071055,85.45217784882408,84.49788858019103,86.55011563268982,Estimación adecuada
Anasco,1980-1984,2,76.47877169471658,76.96664043227986,76.08377683753082,77.90559577333876,Estimación adecuada
Anasco,1985-1989,2,76.49626365968555,77.29920233537055,76.43990749280727,78.18145423640112,Estimación adecuada
Anasco,1990-1994,2,77.19464732684078,77.7602263352363,76.90869333715673,78.5673177282889,Estimación adecuada
Anasco,1995-1999,2,77.85360337047756,78.10029371837875,77.34275956166798,78.92776648595637,Estimación adecuada
Anasco,2000-2004,2,80.6361937434096,80.04269451823006,79.14578386190578,81.04935447421889,Estimación adecuada
Anasco,2005-2009,2,82.18483587125668,81.13174328455598,80.24580754857057,82.08994390915241,< e0 observado
Anasco,2010-2014,2,83.0792504741019,82.43119351477546,81.42446246305192,83.35817569546286,Estimación adecuada
Anasco,2015-2019,2,85.54315717152748,84.23786943595147,83.25941933298274,85.34159616819525,< e0 observado
Anasco,2020-2024,2,83.21756305986028,84.09953205590196,83.30740807449718,85.15505150222151,> e0 observado
Arecibo,1980-1984,2,77.54900544750468,77.26689817369247,76.68064348387517,77.85406590612817,Estimación adecuada
Arecibo,1985-1989,2,77.07511338664264,77.29634049711714,76.78018627720213,77.90868187819473,Estimación adecuada
Arecibo,1990-1994,2,77.82525476262934,78.03596509430375,77.49827706148113,78.65443707646548,Estimación adecuada
Arecibo,1995-1999,2,77.67805190763367,77.89510370746424,77.41699834420842,78.43253573129158,Estimación adecuada
Arecibo,2000-2004,2,80.17723082421405,79.8442542345214,79.23508718674225,80.3626712419997,Estimación adecuada
Arecibo,2005-2009,2,80.99120726198103,80.66334286204528,80.08575441877318,81.20075064913303,Estimación adecuada
Arecibo,2010-2014,2,81.99729917976788,81.72159975312141,81.1405294133186,82.33047043607749,Estimación adecuada
Arecibo,2015-2019,2,84.62096334942434,84.19678205232138,83.57426485963535,84.93253460354904,Estimación adecuada
Arecibo,2020-2024,2,83.99392652816302,83.84934855273684,83.23432740347488,84.45095835437198,Estimación adecuada
Arroyo,1980-1984,2,77.70227943996014,77.7686201643674,76.80089328795313,78.73632230658954,Estimación adecuada
Arroyo,1985-1989,2,76.53547803214356,77.59175843550537,76.65940248139789,78.52111947020296,> e0 observado
Arroyo,1990-1994,2,79.1638940521351,78.58828217957586,77.64675953918396,79.59331372560796,Estimación adecuada
Arroyo,1995-1999,2,77.98473955428868,78.2937101788309,77.46334439322052,79.0587261765814,Estimación adecuada
Arroyo,2000-2004,2,79.49462438506767,80.04308786544122,79.05823091256636,80.97025525450518,Estimación adecuada
Arroyo,2005-2009,2,81.55925566302211,81.21468279443803,80.30029985062669,82.26268894812117,Estimación adecuada
Arroyo,2010-2014,2,82.70095569618667,82.32616907901908,81.26938952192216,83.43810267531201,Estimación adecuada
Arroyo,2015-2019,2,83.0866067343545,83.71060598312022,82.72252837965854,84.96401700537584,Estimación adecuada
Arroyo,2020-2024,2,82.07042233229612,83.629581858992,82.62815438042105,84.56053397198835,> e0 observado
Barceloneta,1980-1984,2,77.15945709054438,77.80886312643761,76.97522777456173,78.82612926664615,Estimación adecuada
Barceloneta,1985-1989,2,78.86869640220178,78.62539940646704,77.67060440916015,79.5653385370486,Estimación adecuada
Barceloneta,1990-1994,2,79.79778456534827,79.3007199215296,78.3431226089561,80.36460439987795,Estimación adecuada
Barceloneta,1995-1999,2,78.30155980616671,78.91233283817671,78.1132642786738,79.86955592666138,Estimación adecuada
Barceloneta,2000-2004,2,80.98566728548113,80.50837733128927,79.60898268135458,81.5435053396819,Estimación adecuada
Barceloneta,2005-2009,2,83.11601404161499,82.13057421333488,81.22623215878247,83.24893095274462,Estimación adecuada
Barceloneta,2010-2014,2,83.08358460781069,82.7975770623253,81.89381700499602,83.83873745167249,Estimación adecuada
Barceloneta,2015-2019,2,85.56404930901091,84.69787468867914,83.63401309829908,85.83799733560954,Estimación adecuada
Barceloneta,2020-2024,2,84.21378427386206,84.45819276567755,83.4835714197938,85.54472519432386,Estimación adecuada
Barranquitas,1980-1984,2,77.30531169649653,78.34071677594531,77.4392824088457,79.25638342748131,> e0 observado
Barranquitas,1985-1989,2,77.76964050663393,78.68908428054826,77.79850597876396,79.6481007877695,> e0 observado
Barranquitas,1990-1994,2,80.19038720696513,79.57326660964617,78.65036795073433,80.5909568933241,Estimación adecuada
Barranquitas,1995-1999,2,77.36809189145215,78.94221585925061,78.11077076324867,79.93450557806898,> e0 observado
Barranquitas,2000-2004,2,80.92303201880848,81.25037081620783,80.26370503933498,82.28062175275406,Estimación adecuada
Barranquitas,2005-2009,2,83.34321773527964,82.71920057580664,81.61608038642555,83.79288437220933,Estimación adecuada
Barranquitas,2010-2014,2,83.19916348644448,83.22071108694487,82.18602918273626,84.28644977415564,Estimación adecuada
Barranquitas,2015-2019,2,86.1569793140704,85.44716317889191,84.32604357505181,86.58813358377401,Estimación adecuada
Barranquitas,2020-2024,2,85.89659093832063,85.46435536902226,84.39966133697409,86.7112863325807,Estimación adecuada
Bayamon,1980-1984,2,78.18054324807127,78.22959020257782,77.73437720679954,78.67388081491964,Estimación adecuada
Bayamon,1985-1989,2,79.53402783138928,79.28647022235643,78.84089931776631,79.74336375991896,Estimación adecuada
Bayamon,1990-1994,2,79.99809814237119,79.99862695772674,79.52693483260316,80.50526104522997,Estimación adecuada
Bayamon,1995-1999,2,79.73301230251936,79.9320860601967,79.44952578500448,80.38122584174863,Estimación adecuada
Bayamon,2000-2004,2,81.70891995330638,81.66850945004936,81.22722442815831,82.11261144289855,Estimación adecuada
Bayamon,2005-2009,2,82.81400991090649,82.83594746314924,82.35473297416196,83.30892562457949,Estimación adecuada
Bayamon,2010-2014,2,84.21195413174073,84.06590406042329,83.54974413559626,84.57749755826788,Estimación adecuada
Bayamon,2015-2019,2,85.53635487807954,85.30070364533478,84.78697714563364,85.87479877844396,Estimación adecuada
Bayamon,2020-2024,2,85.66531677680673,85.69374982242374,85.21786704788919,86.20215176693043,Estimación adecuada
Cabo Rojo,1980-1984,2,77.54158683750231,78.01459380367527,77.29399680941711,78.86018934086835,Estimación adecuada
Cabo Rojo,1985-1989,2,79.23917112625598,78.99595128887356,78.22688145065553,79.73532697826514,Estimación adecuada
Cabo Rojo,1990-1994,2,80.55409901002385,79.86915641440348,79.10178594092707,80.60713609890738,Estimación adecuada
Cabo Rojo,1995-1999,2,79.89647697006733,79.78998974980678,79.14011323058179,80.47408347617946,Estimación adecuada
Cabo Rojo,2000-2004,2,82.11872847252751,81.66811463365482,80.94611417252854,82.57952992849036,Estimación adecuada
Cabo Rojo,2005-2009,2,82.7883495500848,82.24172076510997,81.4856344420399,83.03251029843403,Estimación adecuada
Cabo Rojo,2010-2014,2,83.42815115673008,83.69506615814402,82.8633842209128,84.5562230124026,Estimación adecuada
Cabo Rojo,2015-2019,2,84.21493107845924,84.61849752854431,83.82902106483611,85.33177100750584,Estimación adecuada
Cabo Rojo,2020-2024,2,84.78014352257735,84.75482432202273,84.00095038466574,85.51562845571019,Estimación adecuada
Caguas,1980-1984,2,78.48100883851102,78.54971526407384,77.92766598810698,79.18034040216878,Estimación adecuada
Caguas,1985-1989,2,79.24402800001288,79.16115361113847,78.55298304994939,79.8216901226818,Estimación adecuada
Caguas,1990-1994,2,78.64358444378482,79.01432117349145,78.48823695487435,79.57659750371954,Estimación adecuada
Caguas,1995-1999,2,79.65612948337659,79.81368379366349,79.28512962221728,80.25996363528489,Estimación adecuada
Caguas,2000-2004,2,81.16770684291535,81.14840236061482,80.63533949348549,81.69600307986533,Estimación adecuada
Caguas,2005-2009,2,83.1696138038651,83.06555669245208,82.48977973031981,83.68808682429774,Estimación adecuada
Caguas,2010-2014,2,83.90600489563008,83.80047444356563,83.20303186458091,84.44164156330882,Estimación adecuada
Caguas,2015-2019,2,84.81913360231934,84.97790807137943,84.3854755112592,85.5407240222774,Estimación adecuada
Caguas,2020-2024,2,84.58890329073994,84.82586098269071,84.24783313529223,85.41356898794132,Estimación adecuada
Camuy,1980-1984,2,79.0481930632779,78.551362783402,77.59361848733278,79.42042736985998,Estimación adecuada
Camuy,1985-1989,2,79.50251205629577,78.96951602523845,78.06757035182153,79.89119800548912,Estimación adecuada
Camuy,1990-1994,2,78.42074942707245,78.74103176059256,77.8470753336759,79.59150495785187,Estimación adecuada
Camuy,1995-1999,2,81.15887534595899,80.0384772839565,79.21725289694021,80.91232092665393,< e0 observado
Camuy,2000-2004,2,81.38049051623702,80.7588318942921,79.88889477252971,81.70712353118617,Estimación adecuada
Camuy,2005-2009,2,83.37764861657536,82.26150536239459,81.4149119581524,83.16109285312461,< e0 observado
Camuy,2010-2014,2,83.52117698878536,83.03297382613403,82.08161174812719,84.00903310578124,Estimación adecuada
Camuy,2015-2019,2,85.3683244262729,84.74776579798,83.84907389829743,85.67342724505873,Estimación adecuada
Camuy,2020-2024,2,85.47114665413858,85.06007961186026,83.96661692094096,86.002236841198,Estimación adecuada
