period,region,sex,e0
1980-1984,Adjuntas,2,78.60112925299788
1985-1989,Adjuntas,2,78.86617055124778
1990-1994,Adjuntas,2,78.8036639473769
1995-1999,Adjuntas,2,79.11319897058209
2000-2004,Adjuntas,2,80.37840008028002
2005-2009,Adjuntas,2,81.9748611532286
2010-2014,Adjuntas,2,83.19286997163671
2015-2019,Adjuntas,2,84.6278781371392
2020-2024,Adjuntas,2,85.48388720423463
1980-1984,Aguada,2,77.56889736629844
1985-1989,Aguada,2,77.93760074225656
1990-1994,Aguada,2,78.82596090262815
1995-1999,Aguada,2,78.51461309412572
2000-2004,Aguada,2,80.1823872410882
2005-2009,Aguada,2,81.184155255143
2010-2014,Aguada,2,82.92967128893935
2015-2019,Aguada,2,84.3603046464283
2020-2024,Aguada,2,84.05780574176427
1980-1984,Aguadilla,2,77.24901212157862
1985-1989,Aguadilla,2,77.54162942213782
1990-1994,Aguadilla,2,77.92186854790737
1995-1999,Aguadilla,2,78.10685738315001
2000-2004,Aguadilla,2,79.86102832782646
2005-2009,Aguadilla,2,80.74963379992298
2010-2014,Aguadilla,2,81.7256100494277
2015-2019,Aguadilla,2,83.49225061121521
2020-2024,Aguadilla,2,83.43375740528994
1980-1984,Aguas Buenas,2,79.18917694940004
1985-1989,Aguas Buenas,2,79.37228889834992
1990-1994,Aguas Buenas,2,80.47844829968412
1995-1999,Aguas Buenas,2,79.79915316151323
2000-2004,Aguas Buenas,2,81.66790738834786
2005-2009,Aguas Buenas,2,83.21085106354853
2010-2014,Aguas Buenas,2,83.98472509763872
2015-2019,Aguas Buenas,2,85.76701050670434
2020-2024,Aguas Buenas,2,85.47512899201367
1980-1984,Aibonito,2,78.53768277864879
1985-1989,Aibonito,2,79.26493817250652
1990-1994,Aibonito,2,79.2594382536498
1995-1999,Aibonito,2,79.72290801090138
2000-2004,Aibonito,2,80.92451327144406
2005-2009,Aibonito,2,81.65704243990803
2010-2014,Aibonito,2,83.14545302291677
2015-2019,Aibonito,2,84.61462642827956
2020-2024,Aibonito,2,85.4583432541062
1980-1984,Anasco,2,76.9898848323924
1985-1989,Anasco,2,77.30202636796996
1990-1994,Anasco,2,77.72679954028396
1995-1999,Anasco,2,78.10619287622309
2000-2004,Anasco,2,80.05278232748245
2005-2009,Anasco,2,81.16301170792968
2010-2014,Anasco,2,82.38081826075701
2015-2019,Anasco,2,84.26418784178325
2020-2024,Anasco,2,84.11332947425807
1980-1984,Arecibo,2,77.26069192389173
1985-1989,Arecibo,2,77.27521709470037
1990-1994,Arecibo,2,78.00295990103712
1995-1999,Arecibo,2,77.88659702483356
2000-2004,Arecibo,2,79.84167054007926
2005-2009,Arecibo,2,80.61729192192132
2010-2014,Arecibo,2,81.7047011868484
2015-2019,Arecibo,2,84.18417594611725
2020-2024,Arecibo,2,83.78706181526789
1980-1984,Arroyo,2,77.79156643183661
1985-1989,Arroyo,2,77.53539980261212
1990-1994,Arroyo,2,78.54494600775627
1995-1999,Arroyo,2,78.26379988965883
2000-2004,Arroyo,2,80.01174908108689
2005-2009,Arroyo,2,81.18537107343722
2010-2014,Arroyo,2,82.3171995241326
2015-2019,Arroyo,2,83.74251290558443
2020-2024,Arroyo,2,83.64444511159219
1980-1984,Barceloneta,2,77.84108550508262
1985-1989,Barceloneta,2,78.59207031157443
1990-1994,Barceloneta,2,79.3167690876885
1995-1999,Barceloneta,2,78.91757429090774
2000-2004,Barceloneta,2,80.50234880835946
2005-2009,Barceloneta,2,82.0924817151386
2010-2014,Barceloneta,2,82.81119602696373
2015-2019,Barceloneta,2,84.63630929288752
2020-2024,Barceloneta,2,84.44742522519218
1980-1984,Barranquitas,2,78.33221082978278
1985-1989,Barranquitas,2,78.65776853049238
1990-1994,Barranquitas,2,79.5554593090233
1995-1999,Barranquitas,2,78.92601349050963
2000-2004,Barranquitas,2,81.2297668560359
2005-2009,Barranquitas,2,82.65214989523322
2010-2014,Barranquitas,2,83.1853239844136
2015-2019,Barranquitas,2,85.3884167795674
2020-2024,Barranquitas,2,85.47507699918013
1980-1984,Bayamon,2,78.22522101588669
