period,region,sex,e0
1980-1984,Adjuntas,1,72.27970971182015
1980-1984,Adjuntas,2,78.85921079965264
1985-1989,Adjuntas,1,71.60433751391912
1985-1989,Adjuntas,2,79.0192107392071
1990-1994,Adjuntas,1,71.47326400344875
1990-1994,Adjuntas,2,78.6077597978871
1995-1999,Adjuntas,1,72.05975607003754
1995-1999,Adjuntas,2,78.96790269472379
2000-2004,Adjuntas,1,73.8716614240085
2000-2004,Adjuntas,2,80.09630909673021
2005-2009,Adjuntas,1,75.91835481792936
2005-2009,Adjuntas,2,82.24270617024257
2010-2014,Adjuntas,1,76.87956943450988
2010-2014,Adjuntas,2,83.63615636582271
2015-2019,Adjuntas,1,79.30479209217731
2015-2019,Adjuntas,2,84.9815009502157
2020-2024,Adjuntas,1,78.96354805258754
2020-2024,Adjuntas,2,86.16436492392879
1980-1984,Aguada,1,72.9382528342913
1980-1984,Aguada,2,77.76214562594487
1985-1989,Aguada,1,72.87335425589235
1985-1989,Aguada,2,78.14174892088049
1990-1994,Aguada,1,72.88278441086497
1990-1994,Aguada,2,79.4215821154845
1995-1999,Aguada,1,72.61463041281652
1995-1999,Aguada,2,78.64524474424135
2000-2004,Aguada,1,75.09751030406721
2000-2004,Aguada,2,80.50814304752116
2005-2009,Aguada,1,76.58081541565106
2005-2009,Aguada,2,81.5469959343718
2010-2014,Aguada,1,76.90435996199196
2010-2014,Aguada,2,83.54756668530746
2015-2019,Aguada,1,79.07587212347671
2015-2019,Aguada,2,84.84325699012574
2020-2024,Aguada,1,78.0882187616689
2020-2024,Aguada,2,84.17788668315251
1980-1984,Aguadilla,1,71.07548531947901
1980-1984,Aguadilla,2,77.36381536303233
1985-1989,Aguadilla,1,70.6869592509562
1985-1989,Aguadilla,2,77.58533009417212
1990-1994,Aguadilla,1,70.72785693084592
1990-1994,Aguadilla,2,77.90308352781487
1995-1999,Aguadilla,1,70.72266585981372
1995-1999,Aguadilla,2,78.08942598010678
2000-2004,Aguadilla,1,73.26238279045594
2000-2004,Aguadilla,2,80.04057038286089
2005-2009,Aguadilla,1,74.04489450862086
2005-2009,Aguadilla,2,80.86545282717309
2010-2014,Aguadilla,1,75.54021031049597
2010-2014,Aguadilla,2,81.70455975312551
2015-2019,Aguadilla,1,76.85519510729566
2015-2019,Aguadilla,2,83.53204063480435
2020-2024,Aguadilla,1,76.43626304136141
2020-2024,Aguadilla,2,83.38801509942866
1980-1984,Aguas Buenas,1,71.55549999645086
1980-1984,Aguas Buenas,2,78.82111743263539
1985-1989,Aguas Buenas,1,71.95292000115086
1985-1989,Aguas Buenas,2,78.86817612515931
1990-1994,Aguas Buenas,1,71.77220503880021
1990-1994,Aguas Buenas,2,80.68419858976229
1995-1999,Aguas Buenas,1,72.12580757950325
1995-1999,Aguas Buenas,2,79.23732481785956
2000-2004,Aguas Buenas,1,74.41426502963974
2000-2004,Aguas Buenas,2,81.42531501766061
2005-2009,Aguas Buenas,1,75.13500041456105
2005-2009,Aguas Buenas,2,83.41634162865691
2010-2014,Aguas Buenas,1,77.39068065938648
2010-2014,Aguas Buenas,2,83.88421595493135
2015-2019,Aguas Buenas,1,77.92358965308138
2015-2019,Aguas Buenas,2,85.92905654491406
2020-2024,Aguas Buenas,1,78.03569215392422
2020-2024,Aguas Buenas,2,85.45650766076712
1980-1984,Aibonito,1,71.65737607658734
1980-1984,Aibonito,2,78.2912115729103
1985-1989,Aibonito,1,71.29201094501495
1985-1989,Aibonito,2,79.19228690799538
1990-1994,Aibonito,1,72.24743278298112
1990-1994,Aibonito,2,79.03352335105139
1995-1999,Aibonito,1,72.169135258531
1995-1999,Aibonito,2,79.56248134449052
2000-2004,Aibonito,1,74.06423298522311
2000-2004,Aibonito,2,80.75405523736067
2005-2009,Aibonito,1,74.93165237909541
2005-2009,Aibonito,2,81.35990019516375
2010-2014,Aibonito,1,75.5413579334172
2010-2014,Aibonito,2,82.97546701278536
2015-2019,Aibonito,1,77.66691709956994
2015-2019,Aibonito,2,84.44207906463406
2020-2024,Aibonito,1,78.93272764971255
2020-2024,Aibonito,2,85.5674459059726
1980-1984,Anasco,1,71.6076095653826
1980-1984,Anasco,2,76.89855916208238
1985-1989,Anasco,1,71.33633616433724
1985-1989,Anasco,2,77.22473760858213
1990-1994,Anasco,1,70.63380663203712
1990-1994,Anasco,2,77.64499671068447
1995-1999,Anasco,1,71.28112531186036
1995-1999,Anasco,2,78.04178609803115
2000-2004,Anasco,1,73.86482848573628
2000-2004,Anasco,2,80.38130730414618
2005-2009,Anasco,1,75.6995170593264
2005-2009,Anasco,2,81.68192646339246
2010-2014,Anasco,1,75.93190459507171
2010-2014,Anasco,2,82.85479969981414
2015-2019,Anasco,1,77.57573110068056
2015-2019,Anasco,2,84.87906612651012
2020-2024,Anasco,1,77.28778465105806
2020-2024,Anasco,2,84.28840592364023
1980-1984,Arecibo,1,70.98131481930993
1980-1984,Arecibo,2,77.37595699199383
1985-1989,Arecibo,1,70.41812375789102
1985-1989,Arecibo,2,77.23257802734881
1990-1994,Arecibo,1,70.64355204078242
1990-1994,Arecibo,2,77.92505336737791
1995-1999,Arecibo,1,70.45424502252462
1995-1999,Arecibo,2,77.80806437361316
2000-2004,Arecibo,1,73.22981411391817
2000-2004,Arecibo,2,79.9668851563809
2005-2009,Arecibo,1,73.76243148046693
2005-2009,Arecibo,2,80.76991384096578
2010-2014,Arecibo,1,75.54812193878816
2010-2014,Arecibo,2,81.7985181638831
2015-2019,Arecibo,1,77.23724313266648
2015-2019,Arecibo,2,84.30951342796641
2020-2024,Arecibo,1,76.73712977343038
2020-2024,Arecibo,2,83.7532199143207
1980-1984,Arroyo,1,69.90735611244594
1980-1984,Arroyo,2,77.46799279764507
1985-1989,Arroyo,1,69.61975505817261
1985-1989,Arroyo,2,76.76658835107456
1990-1994,Arroyo,1,69.76864759460177
1990-1994,Arroyo,2,78.36903313988796
1995-1999,Arroyo,1,69.97489456760404
1995-1999,Arroyo,2,77.64800921254938
2000-2004,Arroyo,1,72.48870324850849
2000-2004,Arroyo,2,79.57867220440066
2005-2009,Arroyo,1,73.56138337028979
2005-2009,Arroyo,2,81.0643763409919
2010-2014,Arroyo,1,74.26715266256512
2010-2014,Arroyo,2,82.17561932512378
2015-2019,Arroyo,1,76.22512384239133
2015-2019,Arroyo,2,83.50720533344095
2020-2024,Arroyo,1,76.64055185720909
2020-2024,Arroyo,2,83.1775504175299
1980-1984,Barceloneta,1,70.6166809461928
1980-1984,Barceloneta,2,77.43677859724103
1985-1989,Barceloneta,1,71.78665881724422
1985-1989,Barceloneta,2,78.58528901465942
1990-1994,Barceloneta,1,71.11559980548368
1990-1994,Barceloneta,2,79.5608043887276
1995-1999,Barceloneta,1,70.50170617357277
1995-1999,Barceloneta,2,78.58003754113118
2000-2004,Barceloneta,1,73.55692566473381
2000-2004,Barceloneta,2,80.37117837544217
2005-2009,Barceloneta,1,74.6206020728114
2005-2009,Barceloneta,2,82.3739769368668
2010-2014,Barceloneta,1,75.49287310334714
2010-2014,Barceloneta,2,82.76377562314882
2015-2019,Barceloneta,1,77.71728869531704
