period,sex,pct_dentro,pct_dentro_sobreestima,pct_dentro_subestima,pct_fuera_sobreestima,pct_fuera_subestima
1980-1984,1,94.87179487179486,43.58974358974359,51.28205128205128,2.564102564102564,2.564102564102564
1980-1984,2,92.3076923076923,48.717948717948715,43.58974358974359,2.564102564102564,5.128205128205128
1985-1989,1,94.87179487179486,47.43589743589743,47.43589743589743,2.564102564102564,2.564102564102564
1985-1989,2,94.87179487179486,43.58974358974359,51.28205128205128,3.8461538461538463,1.282051282051282
1990-1994,1,91.02564102564102,47.43589743589743,43.58974358974359,5.128205128205128,3.8461538461538463
1990-1994,2,97.43589743589743,39.743589743589745,57.692307692307686,2.564102564102564,0
1995-1999,1,88.46153846153845,52.56410256410257,35.8974358974359,5.128205128205128,6.41025641025641
1995-1999,2,100,50,50,0,0
2000-2004,1,91.02564102564102,39.743589743589745,51.28205128205128,2.564102564102564,6.41025641025641
2000-2004,2,98.71794871794873,41.02564102564102,57.692307692307686,0,1.282051282051282
2005-2009,1,87.17948717948718,50,37.17948717948718,1.282051282051282,11.538461538461538
2005-2009,2,98.71794871794873,34.61538461538461,64.1025641025641,0,1.282051282051282
2010-2014,1,88.46153846153845,39.743589743589745,48.717948717948715,5.128205128205128,6.41025641025641
2010-2014,2,98.71794871794873,33.33333333333333,65.38461538461539,0,1.282051282051282
2015-2019,1,91.02564102564102,29.48717948717949,61.53846153846154,5.128205128205128,3.8461538461538463
2015-2019,2,97.43589743589743,41.02564102564102,56.41025641025641,1.282051282051282,1.282051282051282
2020-2024,1,87.17948717948718,43.58974358974359,43.58974358974359,10.256410256410255,2.564102564102564
2020-2024,2,96.15384615384616,34.61538461538461,61.53846153846154,3.8461538461538463,0
