reg_code	age	include_code	1980	1985	1990	1995	2000	2005	2010	2015	2020
72001	0-4	2	0.00431344923059133	0.0030486287186807	0.00312616277676829	0.00353801449738461	0.0027863152434268	0.00216692396738999	0.0023214480360823	0.00219192106464143	0.00230810553601561
72001	5-9	2	0.000203937690067149	0.000228876901524256	0.00022740915000239	0.000212919647590704	0.000189530086368833	0.000171211147178992	0.000164224128315928	0.000143274299621625	0.000148972243776623
72001	10-14	2	0.000269546611557998	0.000290151880490406	0.000288840406078856	0.00027009651716458	0.000219719362846825	0.000208094666782642	0.000190699804696779	0.000174758699102865	0.00018162946512534
72001	15-19	2	0.000999052862752813	0.000855325069166959	0.000889664080151897	0.000975720874903459	0.000815435257824832	0.000715985078069033	0.000615975781115521	0.000626795239119162	0.000599334174679885
72001	20-24	2	0.00140789759963808	0.00161104114439405	0.00160620567493234	0.00163731503488639	0.00136860135549392	0.00147182030458566	0.0010752335598203	0.00110027225332192	0.00115041981307659
72001	25-29	2	0.0018342307861584	0.00228318341842651	0.00227114239085362	0.00244411933102455	0.00172656902794145	0.00167180397034773	0.00157779542497705	0.00149281948839555	0.0014928380932606
72001	30-34	2	0.00225289116474868	0.00253387490830361	0.00268700441598435	0.00302292395640386	0.00208855077329443	0.00192679440624627	0.00184283175438853	0.00213031364139849	0.00162693405864197
72001	35-39	2	0.00282696227755774	0.00363537233433886	0.00376615195726551	0.00295758019945927	0.00262450790959498	0.00247167560968675	0.00233279243902212	0.00185690011627235	0.00202329681024011
72001	40-44	2	0.00361375610432873	0.00423435567158346	0.00444241273643772	0.00394569651223808	0.00305043791290546	0.00359494178884454	0.0024920426720001	0.00269852358231832	0.00263846991418241
72001	45-49	2	0.00551617403967245	0.00554294902570481	0.00546269932765209	0.00476423689797137	0.00390349360027717	0.00413556398079384	0.00374824768452642	0.00329018218801345	0.00402469941787812
72001	50-54	2	0.00727937114874551	0.00830799037900838	0.00770000232584712	0.00673731878304551	0.00552559750413041	0.00584406078630099	0.00497516620807378	0.00454502483902721	0.00520209830899184
72001	55-59	2	0.0108212532469166	0.012307434748806	0.0107566300726572	0.0106087701511114	0.0103236523077307	0.00762984371203312	0.00755752805809568	0.00714869624145971	0.00766599190383445
72001	60-64	2	0.0170105153051337	0.0232519174037291	0.022454426071982	0.0205853857674462	0.0149647497329122	0.0119535414370017	0.0110549171896845	0.0130367151817553	0.00848051532281153
72001	65-69	2	0.0261659843541429	0.0301767177959051	0.0289472978055447	0.0278795952531707	0.0209138747755392	0.019198868098604	0.0172040454835946	0.0135518525636119	0.0111320966913916
72001	70-74	2	0.0414903601660428	0.038786080202639	0.0363333263828347	0.0358355193718674	0.0338174039151157	0.0332473192849251	0.0270934678522232	0.0207116565466456	0.0233652720598277
72001	75-79	2	0.0586324763818657	0.0610317533470318	0.0655136539945202	0.0534794155868822	0.0622867725762304	0.0431394332342193	0.0420456771405531	0.0305061195211776	0.0357939123484981
72001	80-84	2	0.0879527923789169	0.0884822792635627	0.099206549132379	0.106944513804957	0.0883963040340882	0.0685032073219223	0.0750574126470957	0.0617653998057815	0.0480681243705386
72001	85+	2	0.190298084556187	0.169488185343096	0.159295039708852	0.157894649439079	0.17555265415465	0.15596672735254	0.124986983380801	0.130820206315767	0.111232560295371
72003	0-4	2	0.0036633882914436	0.00296141698610511	0.0028701704153867	0.00269589390571547	0.00227951921142339	0.0023377611964297	0.00238800463190072	0.00156417356647191	0.0021484422830467
72003	5-9	2	0.000240833653098743	0.000225628179684791	0.000254818146094421	0.000228974039312252	0.000179417487072494	0.000186848305770182	0.000150463874807347	0.00013786487060063	0.000144500054616708
72003	10-14	2	0.000323223550100525	0.000257134449482142	0.00027814527175169	0.000273629886954324	0.000206565177856721	0.00020530811023863	0.000189929762816148	0.0001674066320969	0.000174814245399333
72003	15-19	2	0.000806571307254759	0.000925840785866989	0.000923945021658887	0.000835107973351782	0.000787816564680198	0.000705691133752375	0.000594841775242988	0.000566748439363299	0.000553088110415941
72003	20-24	2	0.00133978834730818	0.00194378657358382	0.00168922565325201	0.00151387758326648	0.00132074730673412	0.00126113940524159	0.00112425877139757	0.00119915661178634	0.00114618643059796
72003	25-29	2	0.00202703009305741	0.00171628576620673	0.00211171106380796	0.00230581997891639	0.00166044715755337	0.00140298045564878	0.00170084147313475	0.00139654955833182	0.00135765197566745
72003	30-34	2	0.00234889515541854	0.00237113425524529	0.0022187411181831	0.00240240172931977	0.00206301526915665	0.00159475902994436	0.00152493010528869	0.00153528909850668	0.00170165221069404
72003	35-39	2	0.00255149628297525	0.00302657307153186	0.00345220203086242	0.00316711730137064	0.00294230757905165	0.00200482853858206	0.00217504266776622	0.00190626568962527	0.00227398726862348
72003	40-44	2	0.00333737411089311	0.00362220027048487	0.00458326621808395	0.00460290309196482	0.00321723186999795	0.00295479649036667	0.00283123316765231	0.00234528292784413	0.00289564507953828
72003	45-49	2	0.00509683403641312	0.00525422113961459	0.00469015827532352	0.00503319400291014	0.00393682211503347	0.00336960295601372	0.00340961064849093	0.00391194750520186	0.00318841454949703
72003	50-54	2	0.00843253226951729	0.00742963210496144	0.00962123815858874	0.00776283677356064	0.00637791344317155	0.00642452255154981	0.00565386774683392	0.00448644104482815	0.00551714041559715
72003	55-59	2	0.00965652414122604	0.0110785456148959	0.010589010095581	0.0115627435817103	0.00829444364325293	0.00818423156891417	0.00795435351600971	0.00716924108700989	0.00620959349679793
72003	60-64	2	0.0176718577554227	0.0163710067754776	0.0171359743731674	0.0165532648770661	0.0142733382536159	0.0104750865026125	0.0128530378262104	0.00893876493102668	0.0126446000905327
72003	65-69	2	0.0255466254485092	0.0223679145822123	0.0244411124933657	0.025183247021964	0.0214364033531246	0.0214550948326787	0.017662116068459	0.0146375576575274	0.0190367042218054
72003	70-74	2	0.0439305435885657	0.0368039185994446	0.0333107725389273	0.0387462259699781	0.0349421641441127	0.0278957255532958	0.0253008217079537	0.0240279097424835	0.0217207894482343
72003	75-79	2	0.0508161845666749	0.0580781760581852	0.0519656216181602	0.0593352467164387	0.0510845020887197	0.0409888787519987	0.043984715778225	0.0320253725980051	0.040427349076608
72003	80-84	2	0.0851174974801173	0.0961974605225627	0.092140094930944	0.0835463772667474	0.0695036173758295	0.0706828217483702	0.0707767622045777	0.0583286659525648	0.0615154044608155
72003	85+	2	0.175948073818065	0.176217938136823	0.183704025917663	0.155033206540898	0.174992463558439	0.176384179459141	0.142266052527508	0.125059797148425	0.118757976187009
72005	0-4	2	0.0048603483795814	0.00364399569927293	0.0038868703844808	0.00282919780231355	0.00229391606837535	0.00238164836042003	0.00218880031299815	0.00168886141084005	0.00201823628959578
72005	5-9	2	0.000246928589633202	0.000223966713668958	0.000223083833012531	0.000228412788281776	0.000213695147966655	0.00017963250468933	0.000173984310327868	0.000154316535094724	0.000169956938401499
