region,period,sex,e0_observado,e0_estimado,e0_lower,e0_upper,est_eval
Adjuntas,1980-1984,1,72.54189508802463,72.25343697700879,71.35610699551938,73.31256188296979,Estimación adecuada
Adjuntas,1980-1984,2,78.96516925394144,78.77378672784846,77.59574754437969,80.21304818399139,Estimación adecuada
Adjuntas,1985-1989,1,70.84999061728885,71.689216945136,70.37085275695955,72.7197989824275,Estimación adecuada
Adjuntas,1985-1989,2,78.97855761762072,78.96160432264058,78.02288559377068,80.3324669174643,Estimación adecuada
Adjuntas,1990-1994,1,71.49310954038985,71.50910087354555,70.51572563101718,72.55068288411535,Estimación adecuada
Adjuntas,1990-1994,2,77.88047658335911,78.61450554509287,77.33175061217638,80.03934777101946,Estimación adecuada
Adjuntas,1995-1999,1,71.91080703113897,72.03243257653045,70.82941819037038,73.38951734870153,Estimación adecuada
Adjuntas,1995-1999,2,78.53770419818306,78.86832145548085,77.76285859863498,80.12013167989475,Estimación adecuada
Adjuntas,2000-2004,1,74.0807006063416,73.89114225414426,72.71062260412164,74.8357908985223,Estimación adecuada
Adjuntas,2000-2004,2,79.50851081175084,79.98706942128322,78.7927608648919,81.03837815077168,Estimación adecuada
Adjuntas,2005-2009,1,77.13413877724005,75.93570300386118,74.76664440031826,77.4275774899137,Estimación adecuada
Adjuntas,2005-2009,2,82.23262377887984,82.26293806810547,80.72397822037932,83.52835608781139,Estimación adecuada
Adjuntas,2010-2014,1,78.0170892039493,76.93383300824871,76.02116023692557,77.9460154358758,< e0 observado
Adjuntas,2010-2014,2,84.37542750420445,83.7542241867705,82.2811904027738,85.27896184834405,Estimación adecuada
Adjuntas,2015-2019,1,80.07122326396828,79.60503901134983,78.4260132681467,80.91682862220944,Estimación adecuada
Adjuntas,2015-2019,2,84.75780508868199,85.17048982118587,83.58718657488149,86.63987189945037,Estimación adecuada
Adjuntas,2020-2024,1,80.09050176489524,79.1898158916093,78.04783479619245,80.3925935466137,Estimación adecuada
Adjuntas,2020-2024,2,87.03883394524668,86.17165922962954,84.47551155650179,87.98849644836903,Estimación adecuada
Aguada,1980-1984,1,73.2175687853255,73.0954016604444,71.77629592093247,74.11786676494411,Estimación adecuada
Aguada,1980-1984,2,76.66307974738103,77.63068904655489,76.7686291705273,78.99917661691306,> e0 observado
Aguada,1985-1989,1,73.21396709192831,73.0333644814098,72.19065840481963,73.94937880683358,Estimación adecuada
Aguada,1985-1989,2,77.70261010174512,77.96887829574587,76.87264049785952,78.90743364830982,Estimación adecuada
Aguada,1990-1994,1,73.47166304966473,73.00365919509319,71.87705060562564,74.04351161865924,Estimación adecuada
Aguada,1990-1994,2,79.56472305278581,79.38708086637763,78.37377682182205,80.53063623440167,Estimación adecuada
Aguada,1995-1999,1,72.96139718811193,72.61330442682684,71.76214051182782,73.76982435008634,Estimación adecuada
Aguada,1995-1999,2,78.42598214583917,78.41328674108544,77.53018626076307,79.49032981399753,Estimación adecuada
Aguada,2000-2004,1,75.7731265619719,75.14048859112748,74.14020546805318,76.10573545504838,Estimación adecuada
Aguada,2000-2004,2,80.35987918975404,80.38817138471816,79.3141947690871,81.3021602157513,Estimación adecuada
Aguada,2005-2009,1,77.6139364553716,76.60029970934227,75.6985567907953,77.53882834134072,< e0 observado
Aguada,2005-2009,2,81.487501570255,81.42860387433763,80.4165577764318,82.47623971103839,Estimación adecuada
Aguada,2010-2014,1,77.3081065450094,76.90348416790835,76.14469678265039,77.84734915541861,Estimación adecuada
Aguada,2010-2014,2,83.93649978812951,83.48855363527835,82.57800808856678,84.69698677888037,Estimación adecuada
Aguada,2015-2019,1,80.17632385200217,79.24424953776727,78.18598880909786,80.3769898213876,Estimación adecuada
Aguada,2015-2019,2,84.88514363026218,84.77740107957331,83.99789017369201,86.08878970198207,Estimación adecuada
Aguada,2020-2024,1,78.78968559483442,78.20398417935262,77.14449191385899,79.02451830867442,Estimación adecuada
Aguada,2020-2024,2,83.87729580688905,83.97288785753386,83.02460461728947,85.15703280703092,Estimación adecuada
Aguadilla,1980-1984,1,71.00678071372081,71.08116323496496,70.33559413591368,71.84232793732622,Estimación adecuada
Aguadilla,1980-1984,2,77.48535658677463,77.22754751258101,76.3898792051685,77.97499231293278,Estimación adecuada
Aguadilla,1985-1989,1,70.58561267446154,70.67218999106964,69.86716203060496,71.5155192980387,Estimación adecuada
Aguadilla,1985-1989,2,77.65780206154783,77.5496243223243,76.86547784729281,78.3995139371342,Estimación adecuada
Aguadilla,1990-1994,1,70.88482346377512,70.82846244822713,70.05357315143512,71.56003846159854,Estimación adecuada
Aguadilla,1990-1994,2,77.99785568547416,77.83375585433333,77.12145708710474,78.6983903548255,Estimación adecuada
Aguadilla,1995-1999,1,70.78010378855268,70.70524171431795,70.13686813066141,71.40271801985438,Estimación adecuada
Aguadilla,1995-1999,2,78.16686736979354,77.94141156621467,77.35336813905838,78.7916449677735,Estimación adecuada
Aguadilla,2000-2004,1,73.78276571753028,73.35471764038083,72.69802475160654,74.1347929684612,Estimación adecuada
Aguadilla,2000-2004,2,80.45198774138778,80.01665478128946,79.27553333249482,80.84378887645238,Estimación adecuada
Aguadilla,2005-2009,1,74.34368140644376,74.05095025918331,73.17107125287336,74.90931600336012,Estimación adecuada
Aguadilla,2005-2009,2,81.18616231865005,80.79806227756872,79.9990957672967,81.64055340397996,Estimación adecuada
Aguadilla,2010-2014,1,76.10575530196566,75.61574744702642,74.77212073834212,76.29949515912341,Estimación adecuada
Aguadilla,2010-2014,2,81.66758711742574,81.55481328571038,80.75561129356063,82.627627779768,Estimación adecuada
Aguadilla,2015-2019,1,77.5014617746831,76.94694161449118,76.07194487870069,77.85634118750616,Estimación adecuada
Aguadilla,2015-2019,2,82.99395073109925,83.3983347384578,82.61931801801566,84.35674805820076,Estimación adecuada
Aguadilla,2020-2024,1,76.52156602867669,76.51173200063877,75.7567293052538,77.23131669408843,Estimación adecuada
