region,period,sex,Age,AgeInt,nMx,nAx,nqx,lx,ndx,nLx,Sx,Tx,ex
Adjuntas,1980-1984,1,0,1,0.01888629357218507,0.11160334549138332,0.01857463862603,100000,1857.4638626030064,98349.83531859284,0.9809270560929058,7224844.510019921,72.2484451001992
Adjuntas,1980-1984,1,1,4,4.8443489789111194e-4,1.5970346138197717,0.0019354865298406158,98142.536137397,189.95355669832497,392113.69272786006,0.9980637867849047,7126494.674701327,72.61372036202957
Adjuntas,1980-1984,1,5,5,2.034890765280726e-4,2.5,0.00101692804826677,97952.58258069867,99.61072862648871,489513.8860819271,0.9988155928241572,6734380.981973467,68.75143875277936
Adjuntas,1980-1984,1,10,5,2.7059428762505976e-4,2.5,0.0013520567910148156,97852.97185207218,132.30277511358145,488934.102322577,0.9968019276875074,6244867.09589154,63.818880282268054
Adjuntas,1980-1984,1,15,5,0.0010118706729549164,2.5,0.005046587130983697,97720.6690769586,493.1558709949022,487370.45570730575,0.9940146632329437,5755932.993568963,58.90189913697742
Adjuntas,1980-1984,1,20,5,0.0013905871663622072,2.5,0.006928847914342635,97227.5132059637,673.6746520938614,484453.37939958385,0.9920149436095785,5268562.537861657,54.187979967161155
Adjuntas,1980-1984,1,25,5,0.0018179518377458377,2.5,0.009048634235634782,96553.83855386983,873.6803691204987,480584.9918465479,0.9899172231132455,4784109.158462074,49.54861691793742
Adjuntas,1980-1984,1,30,5,0.0022377213621856233,2.5,0.01112636256295177,95680.15818474934,1064.5721300440928,475739.36059863644,0.9874706309045808,4303524.166615525,44.978230055868295
Adjuntas,1980-1984,1,35,5,0.0028092240813693036,2.5,0.013948161628005952,94615.58605470524,1319.7134868195426,469778.64655647735,0.9841208598925976,3827784.8060168885,40.4561760448614
Adjuntas,1980-1984,1,40,5,0.003599590361267532,2.5,0.01783743317502126,93295.8725678857,1664.1588924349635,462318.96560834115,0.9774282021934233,3358006.159460411,35.99308379925377
Adjuntas,1980-1984,1,45,5,0.005554503900316898,2.5,0.027392145060147897,91631.71367545074,2509.9891931078746,451883.595394484,0.968508510582727,2895687.19385207,31.601364611691857
Adjuntas,1980-1984,1,50,5,0.0072710686479721814,2.5,0.035706286096432664,89121.72448234286,3182.2057917739876,437653.10793227935,0.955941374308209,2443803.5984575856,27.420963997860717
Adjuntas,1980-1984,1,55,5,0.010829515184689976,2.5,0.05272023934220757,85939.51869056888,4530.751994320919,418370.7134670421,0.9330842605355678,2006150.4905253062,23.34374826729701
Adjuntas,1980-1984,1,60,5,0.017079680019396713,2.5,0.08190128091880385,81408.76669624796,6667.482270442764,390375.1278051329,0.8980624932900597,1587779.777058264,19.503793528559168
Adjuntas,1980-1984,1,65,5,0.026384937397587273,2.5,0.1237611138828028,74741.28442580519,9250.064613569033,350581.2605951034,0.845591590407499,1197404.6492531311,16.020659244112682
Adjuntas,1980-1984,1,70,5,0.04183866873884581,2.5,0.18938436899725078,65491.21981223616,12403.013339000594,296448.5657136793,0.7808697405648987,846823.3886580277,12.930334647695936
Adjuntas,1980-1984,1,75,5,0.058669753295923936,2.5,0.2558256910307816,53088.206473235565,13581.3271066003,231487.71459967707,0.6990218869640595,550374.8229443484,10.36717680831467
Adjuntas,1980-1984,1,80,5,0.08829693757732894,2.5,0.36165263708354034,39506.879366635265,14287.767105884956,161814.97906846393,0.49256343441276684,318887.1083446713,8.071685576208305
Adjuntas,1980-1984,1,85,NA,0.18905556143666769,6.2282973188023805,1,25219.11226075031,25219.11226075031,157072.1292762074,0,157072.1292762074,6.2282973188023805
Adjuntas,1980-1984,2,0,1,0.011356771168123331,0.12568876892129116,0.011245114461817333,100000,1124.5114461817284,99016.82701312675,0.9884834528590375,7878899.878400547,78.78899878400547
Adjuntas,1980-1984,2,1,4,2.810434213140314e-4,1.5057041987706232,0.0011233861854449197,98875.48855381827,111.07535792047565,395224.89941639197,0.998830605029972,7779883.051387421,78.68363701841841
Adjuntas,1980-1984,2,5,5,1.2826814590404084e-4,2.5,6.41135136482128e-4,98764.4131958978,63.32133553392487,493663.7626406541,0.9993090911096189,7384658.151971029,74.7704351497909
Adjuntas,1980-1984,2,10,5,1.4819780142698522e-4,2.5,7.40714576455637e-4,98701.09186036387,73.10933745306102,493322.6859581867,0.9982562894380419,6890994.389330375,69.81679999122322
Adjuntas,1980-1984,2,15,5,5.502458929314464e-4,2.5,0.00274745003191699,98627.98252291081,270.9754537304834,492462.47398022783,0.9964947346551299,6397671.703372188,64.86669948750132
Adjuntas,1980-1984,2,20,5,8.548567447387504e-4,2.5,0.0042651684536436415,98357.00706918033,419.5092037462746,490736.26233653596,0.9951067772713621,5905209.22939196,60.038520948878364
Adjuntas,1980-1984,2,25,5,0.0011078533197606156,2.5,0.005523967235203654,97937.49786543405,541.0035293064866,488334.980503904,0.9939811366165082,5414472.967055424,55.28498363818627
Adjuntas,1980-1984,2,30,5,0.0013075620711076271,2.5,0.006516508507138175,97396.49433612757,634.6850839068065,485395.75897087087,0.9927854657886986,4926137.98655152,50.57818579743536
Adjuntas,1980-1984,2,35,5,0.0015897207078460502,2.5,0.007917138441910278,96761.80925222076,766.0766397395491,481893.8546617549,0.9909186721710269,4440742.22758065,45.89354273032809
Adjuntas,1980-1984,2,40,5,0.0020615318704889484,2.5,0.010254807819580233,95995.73261248121,984.4177894408058,477517.61858880403,0.9882249147409906,3958848.3729188945,41.239837075884466
Adjuntas,1980-1984,2,45,5,0.002680060170117206,2.5,0.013311114381899025,95011.3148230404,1264.7064791841112,471894.80791724176,0.9833072320673558,3481330.7543300902,36.641222793454716
Adjuntas,1980-1984,2,50,5,0.004064901459675895,2.5,0.020120042324841998,93746.6083438563,1886.1857276887604,464017.57740005956,0.972930319356816,3009435.9464128483,32.10181146366851
Adjuntas,1980-1984,2,55,5,0.006951135824473651,2.5,0.034162017070628437,91860.42261616753,3138.1373255286744,451456.769767016,0.9588019552881974,2545418.369012789,27.709630508109512
Adjuntas,1980-1984,2,60,5,0.009937487098035103,2.5,0.04848293903728101,88722.28529063886,4301.517148994288,432857.6335807085,0.9423265735281459,2093961.5992457727,23.60130369034473
Adjuntas,1980-1984,2,65,5,0.013935597126949084,2.5,0.06733219961594752,84420.76814164457,5684.2360122448445,407893.25067761075,0.9131893112943632,1661103.9656650643,19.676484853561117
Adjuntas,1980-1984,2,70,5,0.02276491642881753,2.5,0.10769539072029664,78736.53212939973,8479.561591636899,372483.7566679064,0.8614572091257889,1253210.7149874535,15.916508907553379
Adjuntas,1980-1984,2,75,5,0.03790344961417465,2.5,0.1731132725607455,70256.97053776283,12162.414089995997,320878.8174638241,0.7827533415985802,880726.9583195471,12.53579469166209
Adjuntas,1980-1984,2,80,5,0.06259342648902998,2.5,0.2706196106766957,58094.55644776683,15721.526248329981,251168.9666180092,0.5513623279446824,559848.1408557231,9.636843365162552
Adjuntas,1980-1984,2,85,NA,0.1417420788648017,7.2848029226339435,1,42373.03019943685,42373.03019943685,308679.1742377139,0,308679.1742377139,7.2848029226339435
Adjuntas,1985-1989,1,0,1,0.013487977643391387,0.12237541501149465,0.013330183189093398,100000,1333.0183189093368,98830.11035108512,0.9860140787619803,7154718.506822419,71.5471850682242
Adjuntas,1985-1989,1,1,4,5.218023414411373e-4,1.6128361580512616,0.0020846127144608915,98666.98168109066,205.68244450989005,394176.929029905,0.9980048731831925,7055888.396471335,71.51215407883083
Adjuntas,1985-1989,1,5,5,2.301259257626418e-4,2.5,0.0011499680351664838,98461.29923658077,113.22734682302689,492023.4278158463,0.9986945090014118,6661711.467441429,67.65817147542211
Adjuntas,1985-1989,1,10,5,2.9245226747537996e-4,2.5,0.0014611930143512343,98348.07188975775,143.70551562022592,491381.0956597382,0.9971432889603504,6169688.039625583,62.73318755594346
Adjuntas,1985-1989,1,15,5,8.526679744000342e-4,2.5,0.004254271170047388,98204.36637413752,417.7880046382634,489977.3618590919,0.9938773304889646,5678306.943965845,57.82132865999783
Adjuntas,1985-1989,1,20,5,0.0016062342716165385,2.5,0.007999050485507161,97786.57836949926,782.1997771826427,486977.3924045397,0.9902879906613854,5188329.582106753,53.05768612234266
