period,region,sex,e0
1980-1984,Adjuntas,1,72.31517480844805
1985-1989,Adjuntas,1,71.70444956016948
1990-1994,Adjuntas,1,71.54873677443281
1995-1999,Adjuntas,1,72.17532932116562
2000-2004,Adjuntas,1,73.93493363236823
2005-2009,Adjuntas,1,75.9014638125846
2010-2014,Adjuntas,1,76.91984673310397
2015-2019,Adjuntas,1,79.19254043046158
2020-2024,Adjuntas,1,78.9851290627612
1980-1984,Aguada,1,73.1358289362264
1985-1989,Aguada,1,72.97970408734422
1990-1994,Aguada,1,72.99864730603082
1995-1999,Aguada,1,72.79565346824862
2000-2004,Aguada,1,75.1975769396348
2005-2009,Aguada,1,76.64997429853267
2010-2014,Aguada,1,77.06730264870906
2015-2019,Aguada,1,79.15582507061639
2020-2024,Aguada,1,78.1951361099923
1980-1984,Aguadilla,1,71.05952736020346
1985-1989,Aguadilla,1,70.71066876949365
1990-1994,Aguadilla,1,70.77727268198511
1995-1999,Aguadilla,1,70.72918950888017
2000-2004,Aguadilla,1,73.09675522197608
2005-2009,Aguadilla,1,73.99842805223808
2010-2014,Aguadilla,1,75.4761328130442
2015-2019,Aguadilla,1,76.8131056275015
2020-2024,Aguadilla,1,76.53678232738191
1980-1984,Aguas Buenas,1,71.40878709023634
1985-1989,Aguas Buenas,1,71.70837717720752
1990-1994,Aguas Buenas,1,71.5407313081171
1995-1999,Aguas Buenas,1,71.89560634421909
2000-2004,Aguas Buenas,1,74.13987523967731
2005-2009,Aguas Buenas,1,74.96404925320816
2010-2014,Aguas Buenas,1,77.16912543959441
2015-2019,Aguas Buenas,1,77.74506907619404
2020-2024,Aguas Buenas,1,77.83267336604067
1980-1984,Aibonito,1,71.6707688694744
1985-1989,Aibonito,1,71.32131820852241
1990-1994,Aibonito,1,72.08314226983423
1995-1999,Aibonito,1,72.04485746461467
2000-2004,Aibonito,1,73.93074433113473
2005-2009,Aibonito,1,74.8955329092388
2010-2014,Aibonito,1,75.63269610480896
2015-2019,Aibonito,1,77.63924930568349
2020-2024,Aibonito,1,78.87428858863304
1980-1984,Anasco,1,71.78708208663568
1985-1989,Anasco,1,71.49708532694889
1990-1994,Anasco,1,70.91733459603071
1995-1999,Anasco,1,71.41613601583026
2000-2004,Anasco,1,73.9521213730616
2005-2009,Anasco,1,75.68921506538885
2010-2014,Anasco,1,76.11438533279734
2015-2019,Anasco,1,77.65931112911416
2020-2024,Anasco,1,77.5013613904184
1980-1984,Arecibo,1,70.86505016469135
1985-1989,Arecibo,1,70.38279544343722
1990-1994,Arecibo,1,70.61166792433205
1995-1999,Arecibo,1,70.41496758254122
2000-2004,Arecibo,1,73.0490366621354
2005-2009,Arecibo,1,73.68985732065934
2010-2014,Arecibo,1,75.42395211251218
2015-2019,Arecibo,1,77.17567625235138
2020-2024,Arecibo,1,76.72584380973278
1980-1984,Arroyo,1,69.8644828360127
1985-1989,Arroyo,1,69.53191855160638
1990-1994,Arroyo,1,69.66300494394767
1995-1999,Arroyo,1,69.85760662540763
2000-2004,Arroyo,1,72.2806203266081
2005-2009,Arroyo,1,73.39219969842816
2010-2014,Arroyo,1,74.17190833146842
2015-2019,Arroyo,1,76.12321442813983
2020-2024,Arroyo,1,76.4909659733806
1980-1984,Barceloneta,1,70.55147324752406
1985-1989,Barceloneta,1,71.47933789034488
1990-1994,Barceloneta,1,70.86656615999107
1995-1999,Barceloneta,1,70.50347083449304
2000-2004,Barceloneta,1,73.29434946723612
2005-2009,Barceloneta,1,74.42027093464834
2010-2014,Barceloneta,1,75.34964269959708
2015-2019,Barceloneta,1,77.39413753684308
2020-2024,Barceloneta,1,75.830386299822635
1980-1984,Barranquitas,1,71.4461852392414
1985-1989,Barranquitas,1,71.4373400565335
1990-1994,Barranquitas,1,70.99293239879641
1995-1999,Barranquitas,1,70.89366801057821
2000-2004,Barranquitas,1,73.73402448895766
2005-2009,Barranquitas,1,75.09268921072108
2010-2014,Barranquitas,1,75.68999485688599
2015-2019,Barranquitas,1,77.88013117115892
2020-2024,Barranquitas,1,77.64171571678371
1980-1984,Bayamon,1,71.8080226892087
1985-1989,Bayamon,1,71.47575219710066
1990-1994,Bayamon,1,69.6699268183357
1995-1999,Bayamon,1,70.90046983657592
2000-2004,Bayamon,1,73.47991939149654
2005-2009,Bayamon,1,74.67438354507621
2010-2014,Bayamon,1,76.21267213240694
2015-2019,Bayamon,1,77.38795529037075
2020-2024,Bayamon,1,76.28669514535922
1980-1984,Cabo Rojo,1,72.60574028354978
1985-1989,Cabo Rojo,1,72.8717909425244
1990-1994,Cabo Rojo,1,72.57821955097991
1995-1999,Cabo Rojo,1,72.38136545137128
2000-2004,Cabo Rojo,1,74.69761090094616
2005-2009,Cabo Rojo,1,75.96188345317377
2010-2014,Cabo Rojo,1,76.12825875436982
2015-2019,Cabo Rojo,1,79.20680759095686
2020-2024,Cabo Rojo,1,79.08522627317573
1980-1984,Caguas,1,71.47598401463307
1985-1989,Caguas,1,70.30576011697336
1990-1994,Caguas,1,69.19009024006183
1995-1999,Caguas,1,69.93938078126175
2000-2004,Caguas,1,72.9936093881111
2005-2009,Caguas,1,74.47234980305886
2010-2014,Caguas,1,74.81447478833715
2015-2019,Caguas,1,77.14891377784845
2020-2024,Caguas,1,76.18062559577581
1980-1984,Camuy,1,72.0754115822492
1985-1989,Camuy,1,72.47739552783536
1990-1994,Camuy,1,71.89587586454323
1995-1999,Camuy,1,72.1292763812442
2000-2004,Camuy,1,74.55591153635866
2005-2009,Camuy,1,75.38189271860425
2010-2014,Camuy,1,76.2992622540751
2015-2019,Camuy,1,77.9435750158251
2020-2024,Camuy,1,77.65610255563219
1980-1984,Canovanas,1,71.34619244618018
1985-1989,Canovanas,1,70.90445587475413
1990-1994,Canovanas,1,69.20722756469591
1995-1999,Canovanas,1,68.8664860654636
2000-2004,Canovanas,1,71.83737449213788
2005-2009,Canovanas,1,72.90311084077729
2010-2014,Canovanas,1,74.40825725512818
2015-2019,Canovanas,1,76.53710319741944
2020-2024,Canovanas,1,75.32525378308117
1980-1984,Carolina,1,72.44626321704537
1985-1989,Carolina,1,71.4243071058907
1990-1994,Carolina,1,70.20395751371233
1995-1999,Carolina,1,70.84461023886237
2000-2004,Carolina,1,73.91044329614073
2005-2009,Carolina,1,74.76963549472342
2010-2014,Carolina,1,75.91528056948943
2015-2019,Carolina,1,77.97422978225597
2020-2024,Carolina,1,78.26836889771177
1980-1984,Catano,1,65.93836473103389
1985-1989,Catano,1,66.51091661944838
