period,region,sex,e0
1980-1984,Adjuntas,2,78.60131498197802
1985-1989,Adjuntas,2,78.86638347435331
1990-1994,Adjuntas,2,78.80264085303621
1995-1999,Adjuntas,2,79.10888832820747
2000-2004,Adjuntas,2,80.37723133249337
2005-2009,Adjuntas,2,81.9706180547001
2010-2014,Adjuntas,2,83.19307891589149
2015-2019,Adjuntas,2,84.62841309113284
2020-2024,Adjuntas,2,85.4894259843151
1980-1984,Aguada,2,77.56630980850797
1985-1989,Aguada,2,77.94013962422386
1990-1994,Aguada,2,78.8320528900314
1995-1999,Aguada,2,78.51099043855388
2000-2004,Aguada,2,80.1839046558251
2005-2009,Aguada,2,81.18024764819464
2010-2014,Aguada,2,82.93377043846745
2015-2019,Aguada,2,84.36253855305034
2020-2024,Aguada,2,84.06486546870582
1980-1984,Aguadilla,2,77.24812536228936
1985-1989,Aguadilla,2,77.54176275980942
1990-1994,Aguadilla,2,77.92309691795705
1995-1999,Aguadilla,2,78.10503933715204
2000-2004,Aguadilla,2,79.86071711254509
2005-2009,Aguadilla,2,80.749703223695
2010-2014,Aguadilla,2,81.72081017565974
2015-2019,Aguadilla,2,83.49211503467527
2020-2024,Aguadilla,2,83.43230554427907
1980-1984,Aguas Buenas,2,79.18869222594073
1985-1989,Aguas Buenas,2,79.3710016684658
1990-1994,Aguas Buenas,2,80.48303162271677
1995-1999,Aguas Buenas,2,79.80063931861375
2000-2004,Aguas Buenas,2,81.66899799825958
2005-2009,Aguas Buenas,2,83.21053162887709
2010-2014,Aguas Buenas,2,83.98631524236339
2015-2019,Aguas Buenas,2,85.77144446882032
2020-2024,Aguas Buenas,2,85.47628423827742
1980-1984,Aibonito,2,78.53393217987028
1985-1989,Aibonito,2,79.2668642952696
1990-1994,Aibonito,2,79.26019289389849
1995-1999,Aibonito,2,79.71951527072805
2000-2004,Aibonito,2,80.92194229629938
2005-2009,Aibonito,2,81.65161554000127
2010-2014,Aibonito,2,83.14419877164659
2015-2019,Aibonito,2,84.61842613367263
2020-2024,Aibonito,2,85.4599561905705
1980-1984,Anasco,2,76.9865135340191
1985-1989,Anasco,2,77.30055297611605
1990-1994,Anasco,2,77.72649639700175
1995-1999,Anasco,2,78.10493635060413
2000-2004,Anasco,2,80.05623249071229
2005-2009,Anasco,2,81.16645764282514
2010-2014,Anasco,2,82.37405326025399
2015-2019,Anasco,2,84.26608975667965
2020-2024,Anasco,2,84.11437513942347
1980-1984,Arecibo,2,77.25829328878703
1985-1989,Arecibo,2,77.27632697689837
1990-1994,Arecibo,2,78.0045995142931
