region,period,sex,Age,AgeInt,nMx,nAx,nqx,lx,ndx,nLx,Sx,Tx,ex
Adjuntas,1980-1984,2,0,1,0.012219315238612855,0.12391600796953615,0.01208989118264642,100000,1208.9891182646534,98940.82398694931,0.9874995630809604,7860131.498197802,78.60131498197802
Adjuntas,1980-1984,2,1,4,3.6037886831256856e-4,1.5043297470458343,0.0014402201582199977,98791.01088173535,142.28080532279273,394808.9575535309,0.9985429886605794,7761190.674210853,78.56170925816242
Adjuntas,1980-1984,2,5,5,1.7302614985938123e-4,2.5,8.647566854972644e-4,98648.73007641255,85.30714884938789,493030.3825099393,0.9991366802538271,7366381.716657322,74.67284891504816
Adjuntas,1980-1984,2,10,5,1.7245062864276983e-4,2.5,8.618815631703884e-4,98563.42292756317,84.94999702423229,492604.73964525526,0.9986688570528617,6873351.3341473825,69.73531488652527
Adjuntas,1980-1984,2,15,5,3.6048640915366275e-4,2.5,0.0018008091277282492,98478.47293053893,177.340932938052,491949.0123203496,0.9977304344000929,6380746.594502127,64.7933137529736
Adjuntas,1980-1984,2,20,5,5.485848801818616e-4,2.5,0.0027391677358988183,98301.13199760088,269.26328917015053,490832.50176507904,0.9967268472757457,5888797.582181777,59.90569449724646
Adjuntas,1980-1984,2,25,5,7.631741952160706e-4,2.5,0.003808604404576954,98031.86870843073,373.3646069518436,489225.9320247741,0.9955008889640105,5397965.080416698,55.0633702237329
Adjuntas,1980-1984,2,30,5,0.0010411544888305668,2.5,0.005192257588414479,97658.50410147889,507.06810899412085,487024.85023490916,0.9938853694485489,4908739.148391924,50.26432867834178
Adjuntas,1980-1984,2,35,5,0.0014133397823626276,2.5,0.007041817709042299,97151.43599248477,684.1227024307591,484046.8732063469,0.9918631454100237,4421714.298157015,45.51362780164217
Adjuntas,1980-1984,2,40,5,0.0018565081908217447,2.5,0.009239657205900873,96467.31329005401,891.3249063743569,480108.25418433413,0.9887916247724505,3937667.4249506677,40.81866997903268
Adjuntas,1980-1984,2,45,5,0.0026566182746567074,2.5,0.013195453168210922,95575.98838367965,1261.1684787223203,474727.0207215924,0.9834730132767084,3457559.1707663336,36.17602317525956
Adjuntas,1980-1984,2,50,5,0.004020625234530342,2.5,0.019903069216807463,94314.81990495733,1877.1543887390872,466881.2135529389,0.9743868484723429,2982832.150044741,31.626335638986454
Adjuntas,1980-1984,2,55,5,0.006388258817626288,2.5,0.03143918988315619,92437.66551621824,2906.1653185200703,454922.91428479104,0.9602729092600307,2515950.9364918023,27.21781129414586
Adjuntas,1980-1984,2,60,5,0.009895705050852592,2.5,0.048284014342745596,89531.50019769817,4322.940239673189,436850.1503893079,0.9407070271989397,2061028.0222070115,23.02014394549372
Adjuntas,1980-1984,2,65,5,0.01469265527943014,2.5,0.07086045577310679,85208.55995802498,6037.917394395743,410948.00630413555,0.9078104814264493,1624177.8718177036,19.061205501158547
Adjuntas,1980-1984,2,70,5,0.024435884585881487,2.5,0.11514523381887642,79170.64256362924,9116.122149579765,373062.9074441968,0.8529737576390792,1213229.865513568,15.324239215798942
Adjuntas,1980-1984,2,75,5,0.04029973026794082,2.5,0.18305589350880025,70054.52041404948,12823.892828724318,318212.8699984366,0.768969568951452,840166.9580693713,11.993044176216719
Adjuntas,1980-1984,2,80,5,0.06776918652650661,2.5,0.28975481275172194,57230.62758532516,16582.849779649427,244696.01347750222,0.5311924572104366,521954.08807093464,9.120188089720896
Adjuntas,1980-1984,2,85,NA,0.1550039327484359,6.820989720985887,1,40647.77780567573,40647.77780567573,277258.0745934324,0,277258.0745934324,6.820989720985887
Adjuntas,1985-1989,2,0,1,0.011875971521809879,0.1246216720103698,0.011753779604061973,100000,1175.3779604062001,98971.09960626376,0.9878566360581216,7886638.347435332,78.86638347435331
Adjuntas,1985-1989,2,1,4,3.463025514396452e-4,1.5048766005841911,0.001384014323824294,98824.6220395938,136.77469244931126,394957.21842279704,0.9985901697081623,7787667.247829068,78.80290444934828
Adjuntas,1985-1989,2,5,5,1.6809438722226248e-4,2.5,8.401188879371583e-4,98687.84734714449,82.90952456618834,493231.962924307,0.9991611999728558,7392710.029406272,74.91003429633707
Adjuntas,1985-1989,2,10,5,1.6756617815021232e-4,2.5,8.374800574198144e-4,98604.9378225783,82.57966898952145,492818.2399404177,0.9987277052013563,6899478.066481965,69.97091848378145
Adjuntas,1985-1989,2,15,5,3.417865946138725e-4,2.5,0.0017074739937650606,98522.35815358878,168.22436435165582,492191.2298570648,0.997815056998901,6406659.826541547,65.02747139440224
Adjuntas,1985-1989,2,20,5,5.333559581936625e-4,2.5,0.0026632286687720084,98354.13378923712,261.93954879972443,491115.8200741863,0.9967741440298895,5914468.596684482,60.134418034310436
Adjuntas,1985-1989,2,25,5,7.594362618497279e-4,2.5,0.003789985677859496,98092.1942404374,371.76801128107763,489531.5511739843,0.9955552304132792,5423352.776610295,55.28832154897988
Adjuntas,1985-1989,2,30,5,0.0010230186550431578,2.5,0.005102044558310755,97720.42622915632,498.5739688782778,487355.6962235859,0.9940419414177291,4933821.225436311,50.489149667300914
Adjuntas,1985-1989,2,35,5,0.00136835753220353,2.5,0.006818462424974497,97221.85226027804,662.9035465231282,484452.00243508234,0.992082216121292,4446465.529212725,45.73524805214413
Adjuntas,1985-1989,2,40,5,0.0018131118470324289,2.5,0.009024652474370565,96558.94871375491,871.4109554322058,480616.21618019405,0.9891465548930475,3962013.5267776432,41.03206983459266
