region,period,sex,Age,AgeInt,nMx,nAx,nqx,lx,ndx,nLx,Sx,Tx,ex
Adjuntas,1980-1984,1,0,1,0.015069488610555454,0.11921958895206712,0.014872092657656086,100000,1487.209265765603,98690.09521158467,0.9847501370958851,7227640.759294679,72.2764075929468
Adjuntas,1980-1984,1,1,4,3.888933893146942e-4,1.6081903848224823,0.001554127971220255,98512.7907342344,153.1014836030372,393684.9733363579,0.9984078314419316,7128950.664083094,72.36573658049561
Adjuntas,1980-1984,1,5,5,1.6869450876855956e-4,2.5,8.431169708347242e-4,98359.68925063136,82.92872325325152,491591.1244450237,0.9989518556033757,6735265.690746737,68.475874029904
Adjuntas,1980-1984,1,10,5,2.508261519067435e-4,2.5,0.0012533448303816753,98276.76052737811,123.17466975364368,491075.86596250645,0.9965484330198363,6243674.566301713,63.53154634723984
Adjuntas,1980-1984,1,15,5,0.0011337137290307936,2.5,0.00565254771777486,98153.58585762446,554.8178277309344,489380.88471879496,0.9923221525397209,5752598.7003392065,58.608135913481256
Adjuntas,1980-1984,1,20,5,0.0019524156042695095,2.5,0.009714660385032756,97598.76802989353,948.1388854080142,485623.4929359476,0.9890723867952409,5263217.815620411,53.92709274781358
Adjuntas,1980-1984,1,25,5,0.0024453515333401053,2.5,0.012152465044126733,96650.62914448552,1174.5433921712101,480316.7872419995,0.9868604164845362,4777594.322684463,49.431590512901
Adjuntas,1980-1984,1,30,5,0.0028479021206029597,2.5,0.014138845482930509,95476.0857523143,1349.9216237670043,474005.624702154,0.9845062424414983,4297277.535442464,45.008941260857036
Adjuntas,1980-1984,1,35,5,0.0034023155551466634,2.5,0.016868101267413543,94126.1641285473,1587.729668433516,466661.4964716527,0.9812140405778649,3823271.91074031,40.6185883185349
Adjuntas,1980-1984,1,40,5,0.0041907963437678485,2.5,0.020736723258802454,92538.43446011379,1918.9439062022138,457894.81253506336,0.975390028068441,3356610.414268657,36.272608606918176
Adjuntas,1980-1984,1,45,5,0.005795827582993373,2.5,0.02856523990162521,90619.49055391157,2588.5674874355464,446626.034050969,0.9667865365812064,2898715.6017335937,31.987771990497812
Adjuntas,1980-1984,1,50,5,0.007746857761392715,2.5,0.03799836890920228,88030.92306647603,3345.03149009755,431792.03660713625,0.95406418550161,2452089.567682625,27.85486602055671
Adjuntas,1980-1984,1,55,5,0.011139154156987666,2.5,0.054186783449646045,84685.89157637848,4588.85606808943,411957.3177116688,0.9330931294632137,2020297.5310754883,23.856364897019187
Adjuntas,1980-1984,1,60,5,0.016743874286926516,2.5,0.08035570680229566,80097.03550828905,6436.253901037126,384394.5427888524,0.9017034419609645,1608340.2133638195,20.079896879546514
Adjuntas,1980-1984,1,65,5,0.02503566902172809,2.5,0.11780502600805606,73660.78160725192,8677.610293016056,346609.88230371947,0.8544127969361477,1223945.670574967,16.61597452360551
