period,region,sex,e0
1980-1984,Adjuntas,1,72.24629782196754
1980-1984,Adjuntas,2,78.78791220434906
1985-1989,Adjuntas,1,71.54261409998072
1985-1989,Adjuntas,2,78.92560893099714
1990-1994,Adjuntas,1,71.4487675543914
1990-1994,Adjuntas,2,78.46139082937296
1995-1999,Adjuntas,1,72.05486352525728
1995-1999,Adjuntas,2,78.82088261574502
2000-2004,Adjuntas,1,73.82435117993133
2000-2004,Adjuntas,2,79.90279459928465
2005-2009,Adjuntas,1,75.98298736178131
2005-2009,Adjuntas,2,82.14452660568419
2010-2014,Adjuntas,1,76.91646248469797
2010-2014,Adjuntas,2,83.5543311038512
2015-2019,Adjuntas,1,79.45350827944537
2015-2019,Adjuntas,2,84.87391190469144
2020-2024,Adjuntas,1,79.11253373803962
2020-2024,Adjuntas,2,86.19082594684053
1980-1984,Aguada,1,72.93980430971715
1980-1984,Aguada,2,77.57273541379497
1985-1989,Aguada,1,72.90323490547954
1985-1989,Aguada,2,77.96195366422519
1990-1994,Aguada,1,72.96497479212972
1990-1994,Aguada,2,79.31765352333524
1995-1999,Aguada,1,72.64113638716802
1995-1999,Aguada,2,78.46682835089041
2000-2004,Aguada,1,75.13768335098797
2000-2004,Aguada,2,80.31780819971999
2005-2009,Aguada,1,76.67460391786658
2005-2009,Aguada,2,81.36342330617502
2010-2014,Aguada,1,76.91872707287138
2010-2014,Aguada,2,83.43375819943786
2015-2019,Aguada,1,79.17458848954244
2015-2019,Aguada,2,84.71879977569293
2020-2024,Aguada,1,78.14576948230565
2020-2024,Aguada,2,84.01112628315333
1980-1984,Aguadilla,1,71.07969240066504
1980-1984,Aguadilla,2,77.2786140210081
1985-1989,Aguadilla,1,70.68607213505412
1985-1989,Aguadilla,2,77.50090022714997
1990-1994,Aguadilla,1,70.7918426236037
1990-1994,Aguadilla,2,77.82029527971335
1995-1999,Aguadilla,1,70.73918673177668
1995-1999,Aguadilla,2,77.99493539547665
2000-2004,Aguadilla,1,73.29777527909528
2000-2004,Aguadilla,2,79.94643513590813
2005-2009,Aguadilla,1,74.07814818049881
2005-2009,Aguadilla,2,80.76697509118695
2010-2014,Aguadilla,1,75.59742652016837
2010-2014,Aguadilla,2,81.5829580026608
2015-2019,Aguadilla,1,76.91820417652337
2015-2019,Aguadilla,2,83.4287965679941
2020-2024,Aguadilla,1,76.49867241087985
2020-2024,Aguadilla,2,83.29530426750507
1980-1984,Aguas Buenas,1,71.47694748591469
1980-1984,Aguas Buenas,2,78.761792085758
1985-1989,Aguas Buenas,1,71.9490020609273
1985-1989,Aguas Buenas,2,78.77757205522617
1990-1994,Aguas Buenas,1,71.7949401403306
1990-1994,Aguas Buenas,2,80.73111472691438
1995-1999,Aguas Buenas,1,72.1483079679402
1995-1999,Aguas Buenas,2,79.13532537793346
2000-2004,Aguas Buenas,1,74.43547037751021
2000-2004,Aguas Buenas,2,81.35566817145201
2005-2009,Aguas Buenas,1,75.14596470251556
2005-2009,Aguas Buenas,2,83.4309326986516
2010-2014,Aguas Buenas,1,77.49815329230778
2010-2014,Aguas Buenas,2,83.83902313971748
2015-2019,Aguas Buenas,1,77.95680788999663
2015-2019,Aguas Buenas,2,85.93424999796994
2020-2024,Aguas Buenas,1,78.14269537721289
2020-2024,Aguas Buenas,2,85.4293660823589
1980-1984,Aibonito,1,71.61144589167641
1980-1984,Aibonito,2,78.2067384680158
1985-1989,Aibonito,1,71.24474245105796
1985-1989,Aibonito,2,79.14773316965436
1990-1994,Aibonito,1,72.34104164176335
1990-1994,Aibonito,2,78.95937599403706
1995-1999,Aibonito,1,72.22911438229193
1995-1999,Aibonito,2,79.50899564427546
2000-2004,Aibonito,1,74.07431662400906
2000-2004,Aibonito,2,80.64216661004944
2005-2009,Aibonito,1,74.95021482929755
2005-2009,Aibonito,2,81.23020933352049
2010-2014,Aibonito,1,75.49840206500525
2010-2014,Aibonito,2,82.87406171020413
2015-2019,Aibonito,1,77.70091339381538
2015-2019,Aibonito,2,84.343046055573
2020-2024,Aibonito,1,79.14781359264711
2020-2024,Aibonito,2,85.56730200909223
1980-1984,Anasco,1,71.60311042406677
1980-1984,Anasco,2,76.73666442811056
1985-1989,Anasco,1,71.33825170371344
1985-1989,Anasco,2,77.04920508388619
1990-1994,Anasco,1,70.62432728786708
1990-1994,Anasco,2,77.50054501227143
1995-1999,Anasco,1,71.29377591667252
1995-1999,Anasco,2,77.90257489660834
2000-2004,Anasco,1,73.90275474538706
2000-2004,Anasco,2,80.26594533296888
2005-2009,Anasco,1,75.82301071074859
2005-2009,Anasco,2,81.59987892412855
2010-2014,Anasco,1,75.96827061439858
2010-2014,Anasco,2,82.77547279989268
2015-2019,Anasco,1,77.64742016310635
2015-2019,Anasco,2,84.85801302700035
2020-2024,Anasco,1,77.38227804316722
2020-2024,Anasco,2,84.21954629085886
1980-1984,Arecibo,1,70.96740219397743
1980-1984,Arecibo,2,77.29021723331562
1985-1989,Arecibo,1,70.38642121845359
1985-1989,Arecibo,2,77.11315363452512
1990-1994,Arecibo,1,70.68438755449411
1990-1994,Arecibo,2,77.82582038349237
1995-1999,Arecibo,1,70.44137178293238
1995-1999,Arecibo,2,77.68652649717964
2000-2004,Arecibo,1,73.252116059302793
