region,e0_estimado,e0_lower,e0_upper
Adjuntas,78.64378415028605,77.76744793768003,80.03604816549964
Aguada,77.41020705332886,76.53421262876714,78.46077496859158
Aguadilla,75.80544239396048,74.98625793832788,76.48943465468332
Aguas Buenas,76.89208960164791,75.6568060372953,78.14451876534605
Aibonito,78.27847743730172,77.0602465806304,79.58514689161416
Anasco,77.15569033121407,75.99908197319704,78.18742567276976
Arecibo,76.49816003290246,75.81381547776672,77.0767141109144
Arroyo,75.89976824488238,75.01233446692905,77.13056827173403
Barceloneta,75.51221250078058,74.5070523027704,76.42155494600513
Barranquitas,76.83329839224245,75.81079961111678,77.94245211218733
Bayamon,75.54190155829389,75.0738900364641,76.10467061794054
Cabo Rojo,77.93324192701381,77.15214660128521,79.0632940793374
Caguas,75.68198360499687,75.18460114833105,76.45604820391675
Camuy,77.42956847804683,76.64082033181342,78.18698363781701
Canovanas,74.72561484343717,73.92954846835937,75.71379973808563
Carolina,77.16492122458033,76.59027413581721,77.77003330524983
Catano,73.18622021593148,72.20365247775722,74.3918157698441
Cayey,77.63627225248656,76.63699550628569,78.67457514676278
Ceiba,76.06680731302413,74.70389374050403,77.22554561823974
Ciales,77.31371758300243,76.02409602245987,78.84389456118878
Cidra,78.13622026669191,77.15117409188167,79.32975168879003
Coamo,77.44689883159953,76.34504578303925,78.4540003564498
Comerio,76.04324238815758,74.9190925340991,77.0656044916625
Corozal,76.28716084492976,75.50108355954964,77.23570351052787
Culebra,77.33213404241368,75.62379317135051,78.92591689871814
Dorado,76.93217778208185,75.99292400111764,78.01930765506764
Fajardo,74.26328606749175,73.21928658683919,75.10851192434603
Florida,76.93249057609557,75.30734157958962,78.11777791219663
Guanica,73.91514906948728,72.83542572714524,74.82730792142728
Guayama,74.49910883458978,73.6455036027677,75.27276529216155
Guayanilla,74.95121671246245,73.96614959446092,76.08739074532397
Guaynabo,77.15622999758943,76.46517428565076,77.85203296839714
Gurabo,77.01773542414561,76.03216223995034,78.01010098850935
Hatillo,77.36670114231052,76.21286655680191,78.41117178139663
Hormigueros,78.21343201629215,76.99629364268662,79.60386074216038
Humacao,76.61094675013291,75.72042068439396,77.48627608515825
Isabela,77.01356763693616,76.43152103486437,77.94194409810335
Jayuya,78.10665673521065,76.60835583722354,79.8909196225069
Juana Diaz,76.18067772722765,75.29169590325569,77.06734635322391
Juncos,75.64328497555181,74.43681521660307,76.48300369914341
Lajas,76.99961934272483,75.97859849115494,78.35159326505487
Lares,77.93031518407177,76.84593809910467,78.6941404946097
Las Marias,78.54223746243981,77.41039320308283,80.23097029930386
Las Piedras,77.15969577421481,76.06292651970371,78.37694125967508
Loiza,74.8130689244746,73.78543309838889,75.87596630539616
Luquillo,75.73587689713356,74.48110743631491,76.95141779595679
Manati,76.15516152874356,75.31384474741236,77.15660087489363
Maricao,78.2291112889919,76.4730323833672,80.18584199039717
Maunabo,76.13618657246221,75.02348292264384,77.23229149324646
Mayaguez,75.57044437150309,74.89122679348556,76.40860700047872
Moca,78.52278412874438,77.62854159557676,79.63577226485623
Morovis,77.22267649847586,76.59028861886713,78.18037026445899
Naguabo,75.8240914794959,74.84803896701845,76.96499922217691
Naranjito,77.56284799434755,76.42957222501211,78.6588856534579
Orocovis,78.21534115213854,77.05885894501876,79.74910044624363
Patillas,76.25986348665438,75.42511434319017,77.39309213063797
Penuelas,77.03121669223259,76.0817144217518,78.3594567463222
Ponce,75.2987507105204,74.61212156810743,75.87931379414567
Quebradillas,77.06536537966804,76.06333122759419,77.94088521149897
Rincon,77.88664685231265,76.71687807408681,79.37507513800254
Rio Grande,76.15034990496869,75.19723295454317,77.01163704936087
Sabana Grande,76.10567255710845,75.15568237248614,77.17929807463602
Salinas,76.07707065552205,75.2910935864252,77.02809992011782
San German,77.3058318597827,76.30412015983272,78.11545958288656
San Juan,74.7157758981873,74.33250704818545,75.13808235122292
San Lorenzo,77.33619069787565,76.37180821945735,78.39311795722266
San Sebastian,76.6770877194356,75.97779498099959,77.49830388452168
Santa Isabel,74.183308411581,73.16957753819241,75.17556650127216
Toa Alta,78.89797250210222,77.91914388670585,79.79557522665034
Toa Baja,75.66616557810266,74.86140655823931,76.380358668709
Trujillo Alto,78.07509593378262,77.24396491237107,78.93168159820672
Utuado,77.7394937564152,76.65354233474721,79.19848107452887
Vega Alta,78.24974948773831,77.29168516763109,79.56369123204911
Vega Baja,76.05764802761016,75.27889633956053,77.0659486677737
Vieques,74.61650694211548,73.09710521511005,75.94144367125622
Villalba,76.53194290436885,75.44073386506076,77.41744646432595
Yabucoa,76.49894113966985,75.4410592486759,77.34771008462852
Yauco,75.7952843179925,74.98120579491288,76.68856017776622
