year,fips3,municipio,sex,agegrp,population
2000,1,Adjuntas,0,0,19159
2001,1,Adjuntas,0,0,19284
2002,1,Adjuntas,0,0,19402
2003,1,Adjuntas,0,0,19484
2004,1,Adjuntas,0,0,19568
2005,1,Adjuntas,0,0,19630
2006,1,Adjuntas,0,0,19620
2007,1,Adjuntas,0,0,19584
2008,1,Adjuntas,0,0,19546
2009,1,Adjuntas,0,0,19501
2000,1,Adjuntas,0,1,1446
2001,1,Adjuntas,0,1,1433
2002,1,Adjuntas,0,1,1414
2003,1,Adjuntas,0,1,1385
2004,1,Adjuntas,0,1,1356
2005,1,Adjuntas,0,1,1327
2006,1,Adjuntas,0,1,1292
2007,1,Adjuntas,0,1,1262
2008,1,Adjuntas,0,1,1239
2009,1,Adjuntas,0,1,1222
2000,1,Adjuntas,0,2,1649
2001,1,Adjuntas,0,2,1638
2002,1,Adjuntas,0,2,1621
2003,1,Adjuntas,0,2,1598
2004,1,Adjuntas,0,2,1569
2005,1,Adjuntas,0,2,1537
2006,1,Adjuntas,0,2,1498
2007,1,Adjuntas,0,2,1448
2008,1,Adjuntas,0,2,1392
2009,1,Adjuntas,0,2,1337
2000,1,Adjuntas,0,3,1852
2001,1,Adjuntas,0,3,1837
2002,1,Adjuntas,0,3,1819
2003,1,Adjuntas,0,3,1799
2004,1,Adjuntas,0,3,1774
2005,1,Adjuntas,0,3,1731
2006,1,Adjuntas,0,3,1698
2007,1,Adjuntas,0,3,1658
2008,1,Adjuntas,0,3,1616
2009,1,Adjuntas,0,3,1565
2000,1,Adjuntas,0,4,1864
2001,1,Adjuntas,0,4,1825
2002,1,Adjuntas,0,4,1788
2003,1,Adjuntas,0,4,1759
2004,1,Adjuntas,0,4,1742
2005,1,Adjuntas,0,4,1741
2006,1,Adjuntas,0,4,1721
2007,1,Adjuntas,0,4,1695
2008,1,Adjuntas,0,4,1671
2009,1,Adjuntas,0,4,1645
2000,1,Adjuntas,0,5,1485
2001,1,Adjuntas,0,5,1511
2002,1,Adjuntas,0,5,1522
2003,1,Adjuntas,0,5,1523
2004,1,Adjuntas,0,5,1512
2005,1,Adjuntas,0,5,1481
2006,1,Adjuntas,0,5,1446
2007,1,Adjuntas,0,5,1408
2008,1,Adjuntas,0,5,1381
2009,1,Adjuntas,0,5,1369
2000,1,Adjuntas,0,6,1177
2001,1,Adjuntas,0,6,1185
2002,1,Adjuntas,0,6,1208
2003,1,Adjuntas,0,6,1243
2004,1,Adjuntas,0,6,1282
2005,1,Adjuntas,0,6,1318
2006,1,Adjuntas,0,6,1343
2007,1,Adjuntas,0,6,1357
2008,1,Adjuntas,0,6,1360
2009,1,Adjuntas,0,6,1348
2000,1,Adjuntas,0,7,1217
2001,1,Adjuntas,0,7,1205
2002,1,Adjuntas,0,7,1199
2003,1,Adjuntas,0,7,1193
2004,1,Adjuntas,0,7,1186
2005,1,Adjuntas,0,7,1175
2006,1,Adjuntas,0,7,1160
2007,1,Adjuntas,0,7,1155
2008,1,Adjuntas,0,7,1164
2009,1,Adjuntas,0,7,1175
2000,1,Adjuntas,0,8,1270
2001,1,Adjuntas,0,8,1266
2002,1,Adjuntas,0,8,1251
2003,1,Adjuntas,0,8,1224
2004,1,Adjuntas,0,8,1195
2005,1,Adjuntas,0,8,1171
2006,1,Adjuntas,0,8,1149
2007,1,Adjuntas,0,8,1131
2008,1,Adjuntas,0,8,1118
2009,1,Adjuntas,0,8,1100
2000,1,Adjuntas,0,9,1259
2001,1,Adjuntas,0,9,1276
2002,1,Adjuntas,0,9,1286
2003,1,Adjuntas,0,9,1303
2004,1,Adjuntas,0,9,1323
2005,1,Adjuntas,0,9,1334
2006,1,Adjuntas,0,9,1340
2007,1,Adjuntas,0,9,1339
2008,1,Adjuntas,0,9,1321
2009,1,Adjuntas,0,9,1299
2000,1,Adjuntas,0,10,1162
2001,1,Adjuntas,0,10,1180
2002,1,Adjuntas,0,10,1206
2003,1,Adjuntas,0,10,1223
2004,1,Adjuntas,0,10,1239
2005,1,Adjuntas,0,10,1258
2006,1,Adjuntas,0,10,1269
2007,1,Adjuntas,0,10,1273
2008,1,Adjuntas,0,10,1285
2009,1,Adjuntas,0,10,1300
2000,1,Adjuntas,0,11,1095
2001,1,Adjuntas,0,11,1110
2002,1,Adjuntas,0,11,1118
2003,1,Adjuntas,0,11,1126
2004,1,Adjuntas,0,11,1146
2005,1,Adjuntas,0,11,1163
2006,1,Adjuntas,0,11,1189
2007,1,Adjuntas,0,11,1220
2008,1,Adjuntas,0,11,1245
2009,1,Adjuntas,0,11,1268
2000,1,Adjuntas,0,12,937
2001,1,Adjuntas,0,12,997
2002,1,Adjuntas,0,12,1055
2003,1,Adjuntas,0,12,1105
2004,1,Adjuntas,0,12,1148
2005,1,Adjuntas,0,12,1190
2006,1,Adjuntas,0,12,1203
2007,1,Adjuntas,0,12,1211
2008,1,Adjuntas,0,12,1219
2009,1,Adjuntas,0,12,1236
2000,1,Adjuntas,0,13,740
2001,1,Adjuntas,0,13,766
2002,1,Adjuntas,0,13,803
2003,1,Adjuntas,0,13,839
2004,1,Adjuntas,0,13,876
2005,1,Adjuntas,0,13,917
2006,1,Adjuntas,0,13,974
2007,1,Adjuntas,0,13,1027
2008,1,Adjuntas,0,13,1070
2009,1,Adjuntas,0,13,1107
2000,1,Adjuntas,0,14,610
2001,1,Adjuntas,0,14,632
2002,1,Adjuntas,0,14,659
2003,1,Adjuntas,0,14,685
2004,1,Adjuntas,0,14,716
2005,1,Adjuntas,0,14,737
2006,1,Adjuntas,0,14,759
2007,1,Adjuntas,0,14,785
2008,1,Adjuntas,0,14,818
2009,1,Adjuntas,0,14,850
2000,1,Adjuntas,0,15,487
2001,1,Adjuntas,0,15,500
2002,1,Adjuntas,0,15,512
2003,1,Adjuntas,0,15,524
2004,1,Adjuntas,0,15,537
2005,1,Adjuntas,0,15,565
2006,1,Adjuntas,0,15,579
2007,1,Adjuntas,0,15,594
2008,1,Adjuntas,0,15,608
2009,1,Adjuntas,0,15,625
2000,1,Adjuntas,0,16,368
2001,1,Adjuntas,0,16,380
2002,1,Adjuntas,0,16,389
2003,1,Adjuntas,0,16,399
2004,1,Adjuntas,0,16,407
2005,1,Adjuntas,0,16,411
2006,1,Adjuntas,0,16,424
2007,1,Adjuntas,0,16,438
2008,1,Adjuntas,0,16,449
2009,1,Adjuntas,0,16,458
2000,1,Adjuntas,0,17,265
2001,1,Adjuntas,0,17,270
2002,1,Adjuntas,0,17,281
2003,1,Adjuntas,0,17,287
2004,1,Adjuntas,0,17,289
2005,1,Adjuntas,0,17,299
2006,1,Adjuntas,0,17,298
